model	objective	reaction	flux	status	minimum	maximum
Cstr_14.xml	objective	Growth	45.559021	optimal	45.559021	45.559021
Cstr_14.xml	objective	R_12DGR120tipp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_12DGR140tipp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_12DGR141tipp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_12DGR160tipp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_12DGR161tipp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_12DGR180tipp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_12DGR181tipp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_1P2CBXLCYCL	0.0	optimal	0.0	999.900772
Cstr_14.xml	objective	R_1P2CBXLR	0.0	optimal	0.0	999.900772
Cstr_14.xml	objective	R_25DKGLCNt2rpp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_25DKGLCNtex	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPA161tipp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPE120tipp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPE141tipp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPE161tipp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPEAT120	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPEAT141	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPEAT161	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPG120tipp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPG140tipp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPG141tipp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPG161tipp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPG180tipp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPG181tipp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPGAT120	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPGAT140	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPGAT141	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPGAT161	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPGAT180	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2AGPGAT181	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2DGULRGy	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2HH24DDH	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2HH24DDH1	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2MAHMP	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_2PGLYCt6	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_3HBCOAHL	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_3HCINNMH	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_3MBt2pp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_3MBt4pp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_3MBtex	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_3OADPCOAT	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_3OXCOAT	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_3PEPTabcpp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_4ABUTD	0.0	optimal	-1000.0	0.0
Cstr_14.xml	objective	R_4ABUTabcpp	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_4ABZGLUH	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_4ABZGLUtex	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_4ABZGLUtr	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_4ABZt	16.53961	optimal	0.0	28.539082
Cstr_14.xml	objective	R_4CMLCL_kt	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_4H2KPILY	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_4HBAt	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_4HGLSD	0.0	optimal	-1000.0	0.0
Cstr_14.xml	objective	R_4PCP	0.0	optimal	0.0	0.0
Cstr_14.xml	objective	R_4PCPpp	0.0	optimal	0.0	0.0
