model	objective	gene	status	value
./model.xml	obj	G_WP_086891689	optimal	52.68612231255302
./model.xml	obj	G_lcl_CP066290_1_prot_1038	optimal	52.686122312554104
./model.xml	obj	G_lcl_CP066290_1_prot_108	optimal	52.68612231255409
./model.xml	obj	G_lcl_CP066290_1_prot_109	optimal	52.686122312554126
./model.xml	obj	G_lcl_CP066290_1_prot_1590	optimal	52.6861223125542
./model.xml	obj	G_lcl_CP066290_1_prot_1886	optimal	52.68612231255412
./model.xml	obj	G_lcl_CP066290_1_prot_2254	optimal	52.68612231255416
./model.xml	obj	G_lcl_CP066290_1_prot_2343	optimal	52.686122312553586
./model.xml	obj	G_lcl_CP066290_1_prot_2363	optimal	52.68612231255391
./model.xml	obj	G_lcl_CP066290_1_prot_24	optimal	52.686122312553586
./model.xml	obj	G_lcl_CP066290_1_prot_2496	optimal	52.68612231255412
./model.xml	obj	G_lcl_CP066290_1_prot_609	optimal	52.68612231255414
./model.xml	obj	G_lcl_CP066290_1_prot_624	optimal	0.0
./model.xml	obj	G_lcl_CP066290_1_prot_666	optimal	52.68612231255419
./model.xml	obj	G_lcl_CP066290_1_prot_87	optimal	52.68612231255427
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51903_1_1333	optimal	52.686122312554055
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51906_1_1337	optimal	0.0
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51907_1_1338	optimal	0.0
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51912_1_1343	optimal	52.686122312554126
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51918_1_1351	optimal	52.68612231255405
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51920_1_1353	optimal	52.68612231255411
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51921_1_1354	optimal	52.686122312554104
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51925_1_1358	optimal	52.68612231255412
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51926_1_1359	optimal	52.68612231255414
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51927_1_1360	optimal	52.686122312554225
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51928_1_1361	optimal	52.68612231255413
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51930_1_1363	optimal	52.68612231255414
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51933_1_1366	optimal	52.686122312554126
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51935_1_1368	optimal	52.686122312554225
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51937_1_1370	optimal	52.68612231255424
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51938_1_1371	optimal	52.68612231255412
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51945_1_1378	optimal	52.68612231255422
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51946_1_1379	optimal	52.68612231255414
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51947_1_1380	optimal	52.68612231255412
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51950_1_1383	optimal	52.686122312553586
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51958_1_1393	optimal	52.68612231255419
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51960_1_1395	optimal	52.68612231255412
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51962_1_1398	optimal	52.68612231255418
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51965_1_1401	optimal	52.68612231255412
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51966_1_1402	optimal	52.68612231255413
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51967_1_1403	optimal	52.686122312554126
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51970_1_1406	optimal	52.68612231255414
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51972_1_1408	optimal	52.68612231255413
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51973_1_1409	optimal	52.68612231255409
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51976_1_1412	optimal	49.94154837956516
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51979_1_1415	optimal	52.686122312554126
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51981_1_1417	optimal	52.686122312554076
./model.xml	obj	G_lcl_CP066290_1_prot_QQE51982_1_1418	optimal	52.686122312554104
