model	objective	reaction	status	value
Cstr_14.xml	objective	Growth	optimal	0.0
Cstr_14.xml	objective	R_12DGR120tipp	optimal	45.559021
Cstr_14.xml	objective	R_12DGR140tipp	optimal	45.559021
Cstr_14.xml	objective	R_12DGR141tipp	optimal	45.559021
Cstr_14.xml	objective	R_12DGR160tipp	optimal	45.559021
Cstr_14.xml	objective	R_12DGR161tipp	optimal	45.559021
Cstr_14.xml	objective	R_12DGR180tipp	optimal	45.559021
Cstr_14.xml	objective	R_12DGR181tipp	optimal	45.559021
Cstr_14.xml	objective	R_1P2CBXLCYCL	optimal	45.559021
Cstr_14.xml	objective	R_1P2CBXLR	optimal	45.559021
Cstr_14.xml	objective	R_25DKGLCNt2rpp	optimal	45.559021
Cstr_14.xml	objective	R_25DKGLCNtex	optimal	45.559021
Cstr_14.xml	objective	R_2AGPA161tipp	optimal	45.559021
Cstr_14.xml	objective	R_2AGPE120tipp	optimal	45.559021
Cstr_14.xml	objective	R_2AGPE141tipp	optimal	45.559021
Cstr_14.xml	objective	R_2AGPE161tipp	optimal	45.559021
Cstr_14.xml	objective	R_2AGPEAT120	optimal	45.559021
Cstr_14.xml	objective	R_2AGPEAT141	optimal	45.559021
Cstr_14.xml	objective	R_2AGPEAT161	optimal	45.559021
Cstr_14.xml	objective	R_2AGPG120tipp	optimal	45.559021
Cstr_14.xml	objective	R_2AGPG140tipp	optimal	45.559021
Cstr_14.xml	objective	R_2AGPG141tipp	optimal	45.559021
Cstr_14.xml	objective	R_2AGPG161tipp	optimal	45.559021
Cstr_14.xml	objective	R_2AGPG180tipp	optimal	45.559021
Cstr_14.xml	objective	R_2AGPG181tipp	optimal	45.559021
Cstr_14.xml	objective	R_2AGPGAT120	optimal	45.559021
Cstr_14.xml	objective	R_2AGPGAT140	optimal	45.559021
Cstr_14.xml	objective	R_2AGPGAT141	optimal	45.559021
Cstr_14.xml	objective	R_2AGPGAT161	optimal	45.559021
Cstr_14.xml	objective	R_2AGPGAT180	optimal	45.559021
Cstr_14.xml	objective	R_2AGPGAT181	optimal	45.559021
Cstr_14.xml	objective	R_2DGULRGy	optimal	45.559021
Cstr_14.xml	objective	R_2HH24DDH	optimal	45.559021
Cstr_14.xml	objective	R_2HH24DDH1	optimal	45.559021
Cstr_14.xml	objective	R_2MAHMP	optimal	45.559021
Cstr_14.xml	objective	R_2PGLYCt6	optimal	45.559021
Cstr_14.xml	objective	R_3HBCOAHL	optimal	45.559021
Cstr_14.xml	objective	R_3HCINNMH	optimal	45.559021
Cstr_14.xml	objective	R_3MBt2pp	optimal	45.559021
Cstr_14.xml	objective	R_3MBt4pp	optimal	45.559021
Cstr_14.xml	objective	R_3MBtex	optimal	45.559021
Cstr_14.xml	objective	R_3OADPCOAT	optimal	45.559021
Cstr_14.xml	objective	R_3OXCOAT	optimal	45.559021
Cstr_14.xml	objective	R_3PEPTabcpp	optimal	45.559021
Cstr_14.xml	objective	R_4ABUTD	optimal	45.559021
Cstr_14.xml	objective	R_4ABUTabcpp	optimal	45.559021
Cstr_14.xml	objective	R_4ABZGLUH	optimal	45.559021
Cstr_14.xml	objective	R_4ABZGLUtex	optimal	45.559021
Cstr_14.xml	objective	R_4ABZGLUtr	optimal	45.559021
Cstr_14.xml	objective	R_4ABZt	optimal	45.559021
Cstr_14.xml	objective	R_4CMLCL_kt	optimal	45.559021
Cstr_14.xml	objective	R_4H2KPILY	optimal	45.559021
Cstr_14.xml	objective	R_4HBAt	optimal	45.559021
Cstr_14.xml	objective	R_4HGLSD	optimal	45.559021
Cstr_14.xml	objective	R_4PCP	optimal	45.559021
Cstr_14.xml	objective	R_4PCPpp	optimal	45.559021
Cstr_14.xml	objective	R_4PEPTabcpp	optimal	45.559021
Cstr_14.xml	objective	R_5DGLCN_Et	optimal	45.559021
Cstr_14.xml	objective	R_5DGLCNt2rpp	optimal	45.559021
Cstr_14.xml	objective	R_5DGLCNtex	optimal	45.559021
Cstr_14.xml	objective	R_5DOAN	optimal	45.559021
Cstr_14.xml	objective	R_6APAt1	optimal	45.559021
Cstr_14.xml	objective	R_6ATHAtexi	optimal	45.559021
Cstr_14.xml	objective	R_AABTN	optimal	45.559021
Cstr_14.xml	objective	R_AACPS4	optimal	45.559021
Cstr_14.xml	objective	R_AACPS7	optimal	45.559021
Cstr_14.xml	objective	R_AACPS9	optimal	45.559021
Cstr_14.xml	objective	R_AALDH	optimal	45.559021
Cstr_14.xml	objective	R_AASAD3	optimal	45.559021
Cstr_14.xml	objective	R_AATA	optimal	45.559021
Cstr_14.xml	objective	R_ABG4t2	optimal	45.559021
Cstr_14.xml	objective	R_ABTA	optimal	37.244027
Cstr_14.xml	objective	R_ABUTD	optimal	45.559021
Cstr_14.xml	objective	R_ABUTt2pp	optimal	45.559021
Cstr_14.xml	objective	R_ABUTt2r	optimal	41.398669
Cstr_14.xml	objective	R_ABUTtex	optimal	45.559021
Cstr_14.xml	objective	R_ACACT1r	optimal	45.559021
Cstr_14.xml	objective	R_ACACT3r	optimal	45.559021
