model	objective	reaction	status	value
./model.xml	obj	R_12DGR160tipp	optimal	34.2522331098042
./model.xml	obj	R_1P2CBXLCYCL	optimal	34.2522331098042
./model.xml	obj	R_1P2CBXLR	optimal	34.2522331098042
./model.xml	obj	R_2AGPE120tipp	optimal	34.2522331098042
./model.xml	obj	R_2AGPE141tipp	optimal	34.2522331098042
./model.xml	obj	R_2AGPE161tipp	optimal	34.2522331098042
./model.xml	obj	R_2AGPEAT120	optimal	34.2522331098042
./model.xml	obj	R_2AGPEAT141	optimal	34.2522331098042
./model.xml	obj	R_2AGPEAT161	optimal	34.2522331098042
./model.xml	obj	R_2AGPG120tipp	optimal	34.2522331098042
./model.xml	obj	R_2AGPG140tipp	optimal	34.2522331098042
./model.xml	obj	R_2AGPG161tipp	optimal	34.2522331098042
./model.xml	obj	R_2AGPG180tipp	optimal	34.2522331098042
./model.xml	obj	R_2AGPG181tipp	optimal	34.2522331098042
./model.xml	obj	R_2AGPGAT120	optimal	34.2522331098042
./model.xml	obj	R_2AGPGAT140	optimal	34.2522331098042
./model.xml	obj	R_2AGPGAT161	optimal	34.2522331098042
./model.xml	obj	R_2AGPGAT180	optimal	34.2522331098042
./model.xml	obj	R_2AGPGAT181	optimal	34.2522331098042
./model.xml	obj	R_2HH24DDH	optimal	34.2522331098042
./model.xml	obj	R_2HH24DDH1	optimal	34.2522331098042
./model.xml	obj	R_2MAHMP	optimal	34.2522331098042
./model.xml	obj	R_3HBCOAHL	optimal	34.2522331098042
./model.xml	obj	R_3HPPPNH	optimal	34.2522331098042
./model.xml	obj	R_3MBt2pp	optimal	34.2522331098042
./model.xml	obj	R_3MBt4pp	optimal	34.2522331098042
./model.xml	obj	R_3MBtex	optimal	34.2522331098042
./model.xml	obj	R_3OXCOAT	optimal	34.2522331098042
./model.xml	obj	R_3PEPTabcpp	optimal	34.2522331098042
./model.xml	obj	R_4ABUTD	optimal	34.2522331098042
./model.xml	obj	R_4ABUTabcpp	optimal	34.2522331098042
./model.xml	obj	R_4ABZGLUH	optimal	34.2522331098042
./model.xml	obj	R_4ABZGLUtex	optimal	34.2522331098042
./model.xml	obj	R_4ABZGLUtr	optimal	34.2522331098042
./model.xml	obj	R_4H2KPILY	optimal	34.2522331098042
./model.xml	obj	R_4HGLSD	optimal	34.2522331098042
./model.xml	obj	R_4HOXPACMOF	optimal	34.2522331098042
./model.xml	obj	R_4PCP	optimal	34.19933101814178
./model.xml	obj	R_4PCPpp	optimal	34.252233109832865
./model.xml	obj	R_4PEPTabcpp	optimal	34.199331018170646
./model.xml	obj	R_4PEPTtex	optimal	34.120283571981766
./model.xml	obj	R_5DGLCN_Et	optimal	34.25223310983287
./model.xml	obj	R_5DGLCNt2rpp	optimal	34.25223310983287
./model.xml	obj	R_5DGLCNtex	optimal	34.25223310983287
./model.xml	obj	R_5DOAN	optimal	34.25223310983287
./model.xml	obj	R_AABTN	optimal	34.25223310983287
./model.xml	obj	R_AACPS9	optimal	34.25223310983287
./model.xml	obj	R_AALDH	optimal	34.25223310983287
./model.xml	obj	R_AASAD3	optimal	34.25223310983287
./model.xml	obj	R_AATA	optimal	34.25223310983287
./model.xml	obj	R_ABG4t2	optimal	34.25214449444827
./model.xml	obj	R_ABTA	optimal	34.18789051783093
./model.xml	obj	R_ABTt	optimal	34.25223310983287
./model.xml	obj	R_ABUTD	optimal	34.25223310983287
./model.xml	obj	R_ABUTt2pp	optimal	34.25223310983287
./model.xml	obj	R_ABUTt2r	optimal	34.22003156864146
./model.xml	obj	R_ABUTtex	optimal	34.25223310983287
./model.xml	obj	R_ACACT1r	optimal	34.25223310983287
./model.xml	obj	R_ACACT3r	optimal	34.25223310983287
./model.xml	obj	R_ACACT9	optimal	34.25223310983287
./model.xml	obj	R_ACALDt	optimal	34.25223310983287
./model.xml	obj	R_ACCOAC	optimal	34.25223310983287
./model.xml	obj	R_ACGAMPM	optimal	34.25223310983287
./model.xml	obj	R_ACGApts	optimal	34.25223310983287
./model.xml	obj	R_ACGK	optimal	34.25223310983287
./model.xml	obj	R_ACGS	optimal	34.25223310983287
./model.xml	obj	R_ACHBS	optimal	34.25223310983287
./model.xml	obj	R_ACHBS2	optimal	34.25223310983287
./model.xml	obj	R_ACKr	optimal	34.25223310983287
./model.xml	obj	R_ACLDC	optimal	34.25223310983287
./model.xml	obj	R_ACLS	optimal	34.25223310983287
./model.xml	obj	R_ACLS_d	optimal	34.25223310983287
./model.xml	obj	R_ACLSa_1	optimal	34.25223310983287
./model.xml	obj	R_ACLSb	optimal	34.25223310983287
./model.xml	obj	R_ACLSb_1	optimal	34.25223310983287
./model.xml	obj	R_ACOAD1f	optimal	34.25223310983287
./model.xml	obj	R_ACOAD3	optimal	34.25223310983287
./model.xml	obj	R_ACOADH2	optimal	34.25223310983287
./model.xml	obj	R_ACODA	optimal	34.25223310983287
./model.xml	obj	R_ACONT	optimal	34.25223310983287
./model.xml	obj	R_ACOTA	optimal	34.25223310983287
./model.xml	obj	R_ACP1_FMN	optimal	34.25223310983287
./model.xml	obj	R_ACPS	optimal	34.25223310983287
./model.xml	obj	R_ACSPHAC100	optimal	34.25223310983287
./model.xml	obj	R_ACSPHAC101	optimal	34.25223310983287
./model.xml	obj	R_ACSPHAC120	optimal	34.25223310983287
./model.xml	obj	R_ACSPHAC121	optimal	34.25223310983287
./model.xml	obj	R_ACSPHAC121d6	optimal	34.25223310983287
./model.xml	obj	R_ACSPHAC140	optimal	34.25223310983287
./model.xml	obj	R_ACSPHAC141	optimal	34.25223310983287
./model.xml	obj	R_ACSPHAC141d5	optimal	34.25223310983287
./model.xml	obj	R_ACSPHAC142	optimal	34.25223310983287
./model.xml	obj	R_ACSPHAC160	optimal	34.25223310983287
./model.xml	obj	R_ACSPHAC50	optimal	34.25223310983287
./model.xml	obj	R_ACSPHAC60	optimal	34.25223310983287
./model.xml	obj	R_ACSPHAC70	optimal	34.25223310983287
./model.xml	obj	R_ACSPHAC80	optimal	34.25223310983287
./model.xml	obj	R_ACSPHAC90	optimal	34.25223310983287
./model.xml	obj	R_ACSPHACP100	optimal	34.25223310983287
./model.xml	obj	R_ACSPHACP40	optimal	34.25223310983287
./model.xml	obj	R_ACSPHACP50	optimal	34.25223310983287
./model.xml	obj	R_ACSPHACP60	optimal	34.25223310983287
./model.xml	obj	R_ACSPHACP70	optimal	34.25223310983287
./model.xml	obj	R_ACSPHACP80	optimal	34.25223310983287
./model.xml	obj	R_ACSPHACP90	optimal	34.25223310983287
./model.xml	obj	R_ACSPHACT40	optimal	34.25223310983287
