model	objective	gene	status	value
./model.xml	obj	G_WP_086891689	optimal	34.565498976439066
./model.xml	obj	G_lcl_CP068157_1_prot_1288	optimal	34.56549897651472
./model.xml	obj	G_lcl_CP068157_1_prot_1550	optimal	34.565498976439066
./model.xml	obj	G_lcl_CP068157_1_prot_2020	optimal	34.565318489467685
./model.xml	obj	G_lcl_CP068157_1_prot_2334	optimal	34.56549897643909
./model.xml	obj	G_lcl_CP068157_1_prot_553	optimal	34.565314982265676
./model.xml	obj	G_lcl_CP068157_1_prot_620	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_621	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_647	optimal	34.56549897643903
./model.xml	obj	G_lcl_CP068157_1_prot_729	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_769	optimal	34.56549897643923
./model.xml	obj	G_lcl_CP068157_1_prot_974	optimal	34.56549897643904
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78429_1_1228	optimal	0.0
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78430_1_1229	optimal	34.5654989764391
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78432_1_1231	optimal	34.5654989764394
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78441_1_1240	optimal	34.46341500355025
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78442_1_1241	optimal	34.46341500355025
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78443_1_1242	optimal	34.46341500355025
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78445_1_1244	optimal	34.565498976439045
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78447_1_1246	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78452_1_1251	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78453_1_1252	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78465_1_1265	optimal	34.56549897643921
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78480_1_1283	optimal	34.56549897643904
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78481_1_1284	optimal	34.56549897651472
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78482_1_1285	optimal	34.56549897643906
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78484_1_1289	optimal	34.56549897651472
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78486_1_1291	optimal	34.56549897643904
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78490_1_1295	optimal	34.565498976439095
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78494_1_1299	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78498_1_1303	optimal	34.565498976438995
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78502_1_1307	optimal	-3.5527136788005125e-13
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78503_1_1308	optimal	-2.980948821118518e-13
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78506_1_1311	optimal	34.565498976439066
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78522_1_1328	optimal	34.56549897643931
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78523_1_1329	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78535_1_1342	optimal	34.56549897643909
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78538_1_1346	optimal	34.56549897643905
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78541_1_1349	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78545_1_1353	optimal	34.565498976439066
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78547_1_1356	optimal	34.56549897643923
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78548_1_1357	optimal	34.56549897643904
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78571_1_1384	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78576_1_1389	optimal	34.565498976439024
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78577_1_1390	optimal	34.56549897643898
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78578_1_1392	optimal	34.565498976439024
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78579_1_1393	optimal	34.565498976439024
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78580_1_1394	optimal	34.56549897643913
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78590_1_1404	optimal	34.56549897643907
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78594_1_1409	optimal	34.56315845759261
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78595_1_1410	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78597_1_1414	optimal	34.56549897643939
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78598_1_1416	optimal	34.56549897643909
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78599_1_1418	optimal	34.56549897643909
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78604_1_1423	optimal	34.51584531227892
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78605_1_1424	optimal	34.565498976438874
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78609_1_1428	optimal	34.565498976439045
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78629_1_1450	optimal	34.56549897643931
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78630_1_1451	optimal	34.565498976439045
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78634_1_1455	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78639_1_1465	optimal	34.565498976438874
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78640_1_1466	optimal	34.565498976438874
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78643_1_1469	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78646_1_1472	optimal	34.5654989764392
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78647_1_1473	optimal	34.56549897643906
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78648_1_1474	optimal	34.56549897643907
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78649_1_1475	optimal	34.565498976438874
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78659_1_1489	optimal	34.56549897643921
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78660_1_1490	optimal	34.56549897643875
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78662_1_1492	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78664_1_1494	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78674_1_1504	optimal	34.56549897643906
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78675_1_1505	optimal	34.565498976439024
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78676_1_1506	optimal	34.565498976439024
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78680_1_1510	optimal	26.76038630433983
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78686_1_1517	optimal	34.56549897643909
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78707_1_1539	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78708_1_1540	optimal	34.56549897643902
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78712_1_1544	optimal	34.565498976439024
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78714_1_1546	optimal	34.56549897651472
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78717_1_1549	optimal	34.565498976439066
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78725_1_1558	optimal	34.56549897643902
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78726_1_1559	optimal	34.56549897643902
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78727_1_1560	optimal	34.565498976439066
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78728_1_1561	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78729_1_1562	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78730_1_1563	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78732_1_1565	optimal	34.56549897651472
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78733_1_1566	optimal	34.56548548706365
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78734_1_1567	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78736_1_1569	optimal	34.56549897643876
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78738_1_1571	optimal	34.56549897651472
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78739_1_1572	optimal	34.565498976439066
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78740_1_1573	optimal	34.46341500377726
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78741_1_1575	optimal	34.55507422312625
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78744_1_1578	optimal	34.565498976439066
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78747_1_1581	optimal	34.565498976438995
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78761_1_1599	optimal	34.56549897643927
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78775_1_1613	optimal	34.56549897643904
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78778_1_1616	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78779_1_1617	optimal	34.565498976439066
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78780_1_1618	optimal	34.565498976439066
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78781_1_1619	optimal	34.565498976439066
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78783_1_1621	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78784_1_1622	optimal	34.56549897643889
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78785_1_1623	optimal	34.56549897651472
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78786_1_1624	optimal	34.565498976439045
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78787_1_1625	optimal	34.56549897643905
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78788_1_1626	optimal	34.56549897643905
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78789_1_1627	optimal	34.56549897643905
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78790_1_1628	optimal	34.56549897643905
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78791_1_1630	optimal	34.56549897643905
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78793_1_1632	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78794_1_1633	optimal	34.56549897643906
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78796_1_1635	optimal	34.56549897643907
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78800_1_1639	optimal	34.565498976439066
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78803_1_1643	optimal	34.565498976439066
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78804_1_1645	optimal	34.565498976439024
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78820_1_1662	optimal	34.565498976438995
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78821_1_1663	optimal	34.565403336994656
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78823_1_1665	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78827_1_1669	optimal	34.565498976439066
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78829_1_1671	optimal	34.565498976439066
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78839_1_1681	optimal	34.56549897643921
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78844_1_1687	optimal	34.56549897643906
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78845_1_1688	optimal	34.565498976439024
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78847_1_1690	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78848_1_1691	optimal	34.565498976439095
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78853_1_1696	optimal	34.56549897643905
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78854_1_1697	optimal	34.56549897643909
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78861_1_1704	optimal	34.56549897643907
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78862_1_1705	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78863_1_1706	optimal	34.565498976439095
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78864_1_1707	optimal	34.56549897643896
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78880_1_1726	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78887_1_1733	optimal	34.56549897643909
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78890_1_1736	optimal	34.565498976439045
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78904_1_1754	optimal	34.56549897643905
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78905_1_1755	optimal	34.56549897643889
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78907_1_1758	optimal	34.119565617536445
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78908_1_1760	optimal	34.56549897643931
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78909_1_1761	optimal	34.5654989764391
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78911_1_1764	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78912_1_1765	optimal	34.565498976438874
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78913_1_1766	optimal	34.56549897643921
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78914_1_1767	optimal	0.0
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78916_1_1769	optimal	34.56549897643904
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78917_1_1770	optimal	34.56549897643908
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78919_1_1772	optimal	34.565498976438874
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78921_1_1774	optimal	34.56549897643906
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78925_1_1778	optimal	-1.120005876737615e-14
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78931_1_1784	optimal	34.56549897643898
./model.xml	obj	G_lcl_CP068157_1_prot_QQU78932_1_1785	optimal	34.56549897643898
