model	objective	gene	status	value
./model.xml	obj	G_WP_005328806_1	optimal	77.49506291513423
./model.xml	obj	G_WP_005390943_1	optimal	77.49506291513428
./model.xml	obj	G_WP_005527601_1	optimal	77.49506291513424
./model.xml	obj	G_WP_005527918_1	optimal	77.49506291513424
./model.xml	obj	G_WP_005527963_1	optimal	77.49506291513428
./model.xml	obj	G_WP_005528451_1	optimal	-4.835400644524375e-14
./model.xml	obj	G_WP_005528655_1	optimal	77.49506291513428
./model.xml	obj	G_WP_005529038_1	optimal	77.49506291513427
./model.xml	obj	G_WP_005529180_1	optimal	77.49506291513424
./model.xml	obj	G_WP_005529683_1	optimal	77.31588876895282
./model.xml	obj	G_WP_005529733_1	optimal	77.49506291513434
./model.xml	obj	G_WP_005531104_1	optimal	77.49506291513433
./model.xml	obj	G_WP_005531175_1	optimal	60.88897800474817
./model.xml	obj	G_WP_005531374_1	optimal	77.49506291513428
./model.xml	obj	G_WP_005531569_1	optimal	77.49506291513427
./model.xml	obj	G_WP_016459101_1	optimal	77.49506291513438
./model.xml	obj	G_WP_034657564_1	optimal	1.5203823648981408e-13
./model.xml	obj	G_WP_039672784_1	optimal	77.49506291513428
./model.xml	obj	G_WP_046645290_1	optimal	3.796024535992455e-13
./model.xml	obj	G_WP_046645813_1	optimal	77.49506291513428
./model.xml	obj	G_WP_046645945_1	optimal	70.66161765328181
./model.xml	obj	G_WP_049063482_1	optimal	77.49506291513413
./model.xml	obj	G_WP_049064020_1	optimal	77.49506291513426
./model.xml	obj	G_WP_049145056_1	optimal	77.49506291513428
./model.xml	obj	G_WP_049146401_1	optimal	77.4950629151338
./model.xml	obj	G_WP_049146693_1	optimal	77.49506291513424
./model.xml	obj	G_WP_049146698_1	optimal	77.49506291513416
./model.xml	obj	G_WP_049146700_1	optimal	77.49506291513426
./model.xml	obj	G_WP_049146705_1	optimal	77.49506291513434
./model.xml	obj	G_WP_049146706_1	optimal	77.49506291513428
./model.xml	obj	G_WP_049146708_1	optimal	77.49506291513428
./model.xml	obj	G_WP_049147213_1	optimal	77.49506291513428
./model.xml	obj	G_WP_049151786_1	optimal	77.49506291513426
./model.xml	obj	G_WP_049152073_1	optimal	77.49506291513428
./model.xml	obj	G_WP_049160175_1	optimal	77.49506291513427
./model.xml	obj	G_WP_049191711_1	optimal	77.49506291513418
./model.xml	obj	G_WP_053085010_1	optimal	77.49506291513424
./model.xml	obj	G_WP_061920295_1	optimal	-6.855907029924969e-14
./model.xml	obj	G_WP_061922147_1	optimal	77.49506291513424
./model.xml	obj	G_WP_061922149_1	optimal	77.49506291513424
./model.xml	obj	G_WP_066486577_1	optimal	77.49506291513349
./model.xml	obj	G_WP_070420718_1	optimal	77.4950629151343
./model.xml	obj	G_WP_082254282_1	optimal	-7.526407263040055e-14
./model.xml	obj	G_WP_086890329_1	optimal	66.1652224927478
./model.xml	obj	G_WP_086890336_1	optimal	77.49506291513431
./model.xml	obj	G_WP_086890337_1	optimal	77.49506291513431
./model.xml	obj	G_WP_086890339_1	optimal	77.49506291513431
./model.xml	obj	G_WP_086890340_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890344_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890345_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890346_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890348_1	optimal	77.49506291513451
./model.xml	obj	G_WP_086890349_1	optimal	77.49506291513427
./model.xml	obj	G_WP_086890371_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890372_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890373_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890374_1	optimal	77.4950629151338
./model.xml	obj	G_WP_086890375_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890389_1	optimal	77.48965706699222
./model.xml	obj	G_WP_086890390_1	optimal	76.60031544959642
./model.xml	obj	G_WP_086890391_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890394_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890395_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890400_1	optimal	77.4950629151338
./model.xml	obj	G_WP_086890403_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890409_1	optimal	77.49506291513427
./model.xml	obj	G_WP_086890427_1	optimal	77.49506291513444
./model.xml	obj	G_WP_086890432_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890435_1	optimal	77.49506291513433
./model.xml	obj	G_WP_086890438_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890447_1	optimal	77.49506291513418
./model.xml	obj	G_WP_086890448_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890449_1	optimal	77.49506291513441
./model.xml	obj	G_WP_086890455_1	optimal	60.98705524093951
./model.xml	obj	G_WP_086890456_1	optimal	60.98705524093951
./model.xml	obj	G_WP_086890468_1	optimal	77.49506291517336
./model.xml	obj	G_WP_086890473_1	optimal	77.49506291513431
./model.xml	obj	G_WP_086890477_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890479_1	optimal	77.49506291513426
./model.xml	obj	G_WP_086890480_1	optimal	77.49506291513444
./model.xml	obj	G_WP_086890484_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890488_1	optimal	77.49506291513438
./model.xml	obj	G_WP_086890490_1	optimal	77.49506291513431
