model	objective	reaction	flux	status	minimum	maximum	fraction_optimum
./model.xml	obj	R_12DGR140tipp	0.0	optimal	0.0	7.369060774820388e-13	1.0
./model.xml	obj	R_12DGR160tipp	0.0	optimal	0.0	1.1053591162230569e-12	1.0
./model.xml	obj	R_12DGR161tipp	0.0	optimal	0.0	6.029231543034858e-13	1.0
./model.xml	obj	R_12DGR180tipp	0.0	optimal	0.0	1.1053591162230569e-12	1.0
./model.xml	obj	R_12DGR181tipp	0.0	optimal	0.0	1.1053591162230565e-12	1.0
./model.xml	obj	R_2AGPE120tipp	0.0	optimal	0.0	6.981215470882477e-13	1.0
./model.xml	obj	R_2AGPE140tipp	0.0	optimal	0.0	6.632154697338343e-13	1.0
./model.xml	obj	R_2AGPE141tipp	0.0	optimal	0.0	6.63215469733835e-13	1.0
./model.xml	obj	R_2AGPE160tipp	0.0	optimal	0.0	1.105359116223057e-12	1.0
./model.xml	obj	R_2AGPE161tipp	0.0	optimal	0.0	7.197687268429214e-13	1.0
./model.xml	obj	R_2AGPE180tipp	0.0	optimal	0.0	1.1053591162230579e-12	1.0
./model.xml	obj	R_2AGPEAT140	0.0	optimal	0.0	7.197687268429203e-13	1.0
./model.xml	obj	R_2AGPEAT141	0.0	optimal	0.0	6.632154697338352e-13	1.0
./model.xml	obj	R_2AGPEAT160	0.0	optimal	0.0	1.105359116223057e-12	1.0
./model.xml	obj	R_2AGPEAT161	0.0	optimal	0.0	6.632154697338359e-13	1.0
./model.xml	obj	R_2AGPEAT180	0.0	optimal	0.0	1.1053591162230583e-12	1.0
./model.xml	obj	R_2AGPG141tipp	0.0	optimal	0.0	7.034103466873926e-13	1.0
./model.xml	obj	R_2AGPG160tipp	0.0	optimal	0.0	1.1053591162230553e-12	1.0
./model.xml	obj	R_2AGPGAT141	0.0	optimal	0.0	1.473812154964079e-12	1.0
./model.xml	obj	R_2AGPGAT160	0.0	optimal	0.0	1.1053591162230575e-12	1.0
./model.xml	obj	R_2DGLCNRx	0.0	optimal	0.0	1000.0	1.0
./model.xml	obj	R_2DHGLCNkt_tpp	0.0	optimal	0.0	1000.0	1.0
./model.xml	obj	R_2DHGLCNtex	0.0	optimal	0.0	1000.0	1.0
./model.xml	obj	R_2HH24DDH	0.0	optimal	0.0	499.99334889836376	1.0
./model.xml	obj	R_2HH24DDH1	0.0	optimal	0.0	499.99334889836376	1.0
./model.xml	obj	R_2MAHMP	0.0	optimal	0.0	-1.3467003224887128e-11	1.0
./model.xml	obj	R_3HAD140	0.0	optimal	0.0	-2.5651434714070668e-12	1.0
./model.xml	obj	R_3HOXPACt2pp	0.0	optimal	0.0	499.99334889836376	1.0
./model.xml	obj	R_3HPAOX	0.0	optimal	0.0	499.99334889836376	1.0
./model.xml	obj	R_3HPPPNH	0.0	optimal	0.0	-1.3467003224886987e-11	1.0
./model.xml	obj	R_3MBt2pp	0.0	optimal	0.0	-1.3467003224887194e-11	1.0
./model.xml	obj	R_3MBt4pp	0.0	optimal	0.0	-1.3467003224887155e-11	1.0
./model.xml	obj	R_3MBtex	0.0	optimal	0.0	-1.3467003224887157e-11	1.0
./model.xml	obj	R_3OXCOAT	0.0	optimal	0.0	986.0962894898969	1.0
./model.xml	obj	R_3PEPTtex	0.0	optimal	7.6113437903697e-14	-1.7179803666486114e-12	1.0
./model.xml	obj	R_3_4DHBZ1t_pp	0.0	optimal	-999.9866977967347	1.2505552149377763e-12	1.0
./model.xml	obj	R_3_4DHBZt2	0.0	optimal	-999.9866977967347	1.2505552149377763e-12	1.0
./model.xml	obj	R_3hoxpactex	0.0	optimal	0.0	499.99334889836376	1.0
./model.xml	obj	R_4ABUTD	0.0	optimal	0.0	-2.2333744766431833e-11	1.0
./model.xml	obj	R_4ABZt	0.0	optimal	0.0	1.8947806286936006e-12	1.0
./model.xml	obj	R_4H2KPILY	0.0	optimal	0.0	499.9933488983647	1.0
./model.xml	obj	R_4HBZtex	0.0	optimal	9.894746927480608e-13	0.0	1.0
./model.xml	obj	R_4HOXPACMOF	0.0	optimal	0.0	499.9933488983647	1.0
./model.xml	obj	R_4HOXPACt2pp	0.0	optimal	0.0	499.9933488983647	1.0
./model.xml	obj	R_4HTHRK	0.0	optimal	0.0	-1.664054233273817e-11	1.0
./model.xml	obj	R_4HTHRtex	0.0	optimal	0.0	-1.664054233273817e-11	1.0
./model.xml	obj	R_4HTHRtrpp	0.0	optimal	0.0	-1.664054233273817e-11	1.0
./model.xml	obj	R_4PEPTtex	0.0	optimal	1.5222687580739392e-13	0.0	1.0
./model.xml	obj	R_5CM2HMUDI	0.0	optimal	0.0	499.9933488983647	1.0
./model.xml	obj	R_5DGLCNt2rpp	0.0	optimal	-999.9999999999998	1000.0	1.0
./model.xml	obj	R_5DGLCNtex	0.0	optimal	-999.9999999999998	1000.0	1.0
./model.xml	obj	R_5DOAN	0.0	optimal	0.0	-1.4706848194885084e-12	1.0
./model.xml	obj	R_5MTRt2	0.0	optimal	-5.060121434964657e-13	0.0	1.0
./model.xml	obj	R_AACPS9	0.0	optimal	0.0	-4.4049497008834563e-13	1.0
./model.xml	obj	R_ABTA	1000.0	optimal	0.0	1000.0	1.0
./model.xml	obj	R_ABTt_1	0.0	optimal	-1000.0	1000.0000000000008	1.0
./model.xml	obj	R_ABUTt2pp	0.0	optimal	0.0	1000.0	1.0
./model.xml	obj	R_ABUTt2r	1000.0	optimal	-7.16227077646181e-12	999.999999999998	1.0
./model.xml	obj	R_ACACT1r	0.0	optimal	-7.275957614183426e-12	1000.0	1.0
./model.xml	obj	R_ACACT2r	0.0	optimal	-4.311678586182771e-12	1000.0	1.0
./model.xml	obj	R_ACACT3r	0.0	optimal	-4.311678586182771e-12	1000.0	1.0
./model.xml	obj	R_ACACT4r	0.0	optimal	-4.311678586182771e-12	1000.0	1.0
./model.xml	obj	R_ACACT5r	0.0	optimal	-3.816895797604421e-12	0.0	1.0
./model.xml	obj	R_ACACT5r_1	0.0	optimal	5.081086260057614e-13	-1.926795990166255e-12	1.0
./model.xml	obj	R_ACACT6r	0.0	optimal	5.081086260057614e-13	999.9999999999986	1.0
./model.xml	obj	R_ACACT7r	0.0	optimal	5.081086260057614e-13	999.9999999999983	1.0
./model.xml	obj	R_ACACT8r	0.0	optimal	0.0	7.13303290307819e-14	1.0
./model.xml	obj	R_ACALDt	0.0	optimal	-1000.0	-5.229594535194337e-12	1.0
./model.xml	obj	R_ACCOAC	0.0	optimal	0.0	-6.844895021155596e-12	1.0
./model.xml	obj	R_ACCOAL	0.0	optimal	0.0	1000.0	1.0
./model.xml	obj	R_ACGAMPM	0.0	optimal	1.0178524689763435e-12	15.009538239918305	1.0
./model.xml	obj	R_ACGApts	0.0	optimal	0.0	15.009538239918305	1.0
./model.xml	obj	R_ACGAptspp	0.0	optimal	0.0	15.009538239918305	1.0
./model.xml	obj	R_ACGAtex	0.0	optimal	0.0	15.009538239918305	1.0
./model.xml	obj	R_ACGK	0.0	optimal	0.0	-3.0198066269804197e-13	1.0
./model.xml	obj	R_ACGS	0.0	optimal	0.0	-2.460254222569348e-13	1.0
./model.xml	obj	R_ACHBS	0.0	optimal	0.0	980.9613763626467	1.0
./model.xml	obj	R_ACKr	-992.4952308800408	optimal	-1000.0	-985.5624002147133	1.0
./model.xml	obj	R_ACLDC	0.0	optimal	0.0	2.439530059443021e-13	1.0
./model.xml	obj	R_ACLS	0.0	optimal	0.0	999.9999999999882	1.0
./model.xml	obj	R_ACOAD20	0.0	optimal	0.0	-5.920005226774576e-12	1.0
./model.xml	obj	R_ACOAD2f	0.0	optimal	0.0	-1.182343112304799e-11	1.0
./model.xml	obj	R_ACOAD3f	0.0	optimal	0.0	-1.182343112304799e-11	1.0
./model.xml	obj	R_ACOAD4_1	0.0	optimal	2.8971105868749605e-14	-1.182343112304799e-11	1.0
./model.xml	obj	R_ACOAD5f	0.0	optimal	0.0	-3.751665644813329e-12	1.0
./model.xml	obj	R_ACOAD6f	0.0	optimal	3.862814115833244e-14	-3.775215061198582e-12	1.0
./model.xml	obj	R_ACOATA	0.0	optimal	1.513002133634755e-30	-1.9069064931417618e-13	1.0
./model.xml	obj	R_ACODA	0.0	optimal	0.0	-9.034668251623727e-12	1.0
./model.xml	obj	R_ACONT	12.202079159832195	optimal	0.3906232326937982	1000.0	1.0
./model.xml	obj	R_ACOTA	0.0	optimal	1.695199536300149e-12	2.1949205743312417e-11	1.0
./model.xml	obj	R_ACPPAT181	0.0	optimal	0.0	8.462344382963837e-12	1.0
./model.xml	obj	R_ACPS	0.0	optimal	0.0	7.316401914437484e-12	1.0
./model.xml	obj	R_ACTNabc	0.0	optimal	0.0	1.1084466677857566e-11	1.0
./model.xml	obj	R_ACTNabc1	0.0	optimal	0.0	2.2168933355715165e-11	1.0
./model.xml	obj	R_ACYP_2	0.0	optimal	0.0	2.2168933355715135e-11	1.0
./model.xml	obj	R_ACYSBMNt	0.0	optimal	0.0	7.389644451905044e-12	1.0
./model.xml	obj	R_ACt2rpp	0.0	optimal	-1000.0	1000.0	1.0
./model.xml	obj	R_ACt4pp	0.0	optimal	-1000.0	1000.0	1.0
./model.xml	obj	R_ADCL	0.0	optimal	0.0	7.389644451905047e-12	1.0
./model.xml	obj	R_ADCS	0.0	optimal	0.0	7.389644451905047e-12	1.0
./model.xml	obj	R_ADEt2rpp	15.332018169006925	optimal	15.33201816900942	15.332018169009011	1.0
./model.xml	obj	R_ADEtex	15.332018169006925	optimal	15.33201816900942	15.332018169009011	1.0
./model.xml	obj	R_ADHEr	0.0	optimal	0.0	1000.0	1.0
./model.xml	obj	R_ADK1	49.231960856161045	optimal	-1000.0	1000.0	1.0
./model.xml	obj	R_ADK2	0.0	optimal	1.1559482379793592e-12	1000.0	1.0
./model.xml	obj	R_ADK3	0.0	optimal	-1000.0	983.8575418137322	1.0
./model.xml	obj	R_ADK4	0.0	optimal	1.1787561525502776e-11	1000.0	1.0
./model.xml	obj	R_ADMDC	0.0	optimal	0.0	-1.198320721930548e-12	1.0
./model.xml	obj	R_ADNCYC	0.0	optimal	0.0	-3.6948222259525226e-12	1.0
./model.xml	obj	R_ADPT	15.339522938126885	optimal	15.339522938140636	15.339522938124402	1.0
./model.xml	obj	R_ADSK	0.0	optimal	0.0	-2.4632148173016836e-12	1.0
./model.xml	obj	R_ADSL1r	0.0	optimal	4.569803607296325e-27	-7.31022665206349e-12	1.0
./model.xml	obj	R_ADSL2r	0.0	optimal	0.0	-1.014442498257851e-12	1.0
./model.xml	obj	R_ADSS	0.0	optimal	0.0	-7.389644451905037e-12	1.0
./model.xml	obj	R_AGDC	0.0	optimal	0.0	-7.389644451905042e-12	1.0
./model.xml	obj	R_AGM3PApp	0.0	optimal	0.0	-5.684341886080801e-13	1.0
./model.xml	obj	R_AGM4PApp	0.0	optimal	0.0	-5.684341886080801e-13	1.0
./model.xml	obj	R_AGPAT120	0.0	optimal	0.0	1.9312855765858625e-13	1.0
./model.xml	obj	R_AGPAT141	0.0	optimal	0.0	3.410605131648481e-13	1.0
./model.xml	obj	R_AGPAT160	0.0	optimal	9.015553202525854e-31	2.7852963233694265e-13	1.0
./model.xml	obj	R_AGPAT180	0.0	optimal	3.4512664603419266e-31	3.499071009670657e-13	1.0
./model.xml	obj	R_AGPR	0.0	optimal	1.179349119989823e-11	0.0	1.0
./model.xml	obj	R_AHCYSNS	0.007504769119959228	optimal	0.007504769119918819	0.0075047691213434575	1.0
./model.xml	obj	R_AHMMPS_1	0.0	optimal	0.0	5.336050509184388e-12	1.0
./model.xml	obj	R_AICART	0.0	optimal	0.0	1.0327839695195539e-12	1.0
./model.xml	obj	R_AIRCr	0.0	optimal	0.0	8.893417515307282e-13	1.0
./model.xml	obj	R_AKGDa	917.3875015274888	optimal	0.0	999.9999999999989	1.0
./model.xml	obj	R_AKGDb	917.3875015274888	optimal	0.0	999.9999999999989	1.0
./model.xml	obj	R_AKGt2r	1000.0	optimal	-1000.0	1000.0000000000005	1.0
./model.xml	obj	R_AKP1	0.0	optimal	0.0	-4.179943747937004e-13	1.0
./model.xml	obj	R_ALAALAD	0.0	optimal	0.0	-4.24960947706929e-12	1.0
./model.xml	obj	R_ALAALAabcpp	0.0	optimal	0.0	-3.268930366976377e-13	1.0
./model.xml	obj	R_ALAALAr	7.504769119959228	optimal	7.504769119959233	7.504769119954978	1.0
./model.xml	obj	R_ALAR	15.009538239918456	optimal	-984.9904617600815	1000.0	1.0
./model.xml	obj	R_ALATA_L	-875.5402334853758	optimal	-1000.0	1000.0	1.0
./model.xml	obj	R_ALAabc	0.0	optimal	0.0	-4.249609477069278e-12	1.0
./model.xml	obj	R_ALAt2r	-814.4914883160083	optimal	-1000.0	1000.0	1.0
./model.xml	obj	R_ALAt4	0.0	optimal	0.0	1000.0	1.0
./model.xml	obj	R_ALCD2y	0.0	optimal	0.0	1000.0	1.0
./model.xml	obj	R_ALDD1	0.0	optimal	0.0	999.9866977967342	1.0
./model.xml	obj	R_ALDD19xr	-1000.0	optimal	-1000.0	1000.0000000000092	1.0
./model.xml	obj	R_ALDD20x	0.0	optimal	0.0	-7.90124394462538e-12	1.0
./model.xml	obj	R_ALDD2x	0.0	optimal	0.0	-1.5802487889250767e-11	1.0
./model.xml	obj	R_ALDD2y	0.0	optimal	0.0	-1.5802487889250767e-11	1.0
./model.xml	obj	R_ALDD31	0.0	optimal	0.0	-1.580248788925067e-11	1.0
./model.xml	obj	R_ALDD3y	0.0	optimal	0.0	-8.84554124782436e-12	1.0
./model.xml	obj	R_ALKP	0.0	optimal	0.0	-8.845541247824365e-12	1.0
./model.xml	obj	R_ALR2	0.0	optimal	0.0	-1.7691082495648433e-11	1.0
./model.xml	obj	R_ALR3	0.0	optimal	0.0	-1.7691082495648433e-11	1.0
./model.xml	obj	R_AMALT1	0.0	optimal	0.0	-4.422770623912148e-12	1.0
./model.xml	obj	R_AMALT2	0.0	optimal	0.0	-2.948513749274774e-12	1.0
./model.xml	obj	R_AMALT3	0.0	optimal	0.0	-2.948513749274774e-12	1.0
./model.xml	obj	R_AMALT4	0.0	optimal	0.0	-4.422770623912223e-12	1.0
./model.xml	obj	R_AMANAPEr	0.0	optimal	0.0	-2.2666313270747196e-12	1.0
./model.xml	obj	R_AMANK	0.0	optimal	0.0	-2.2666313270747196e-12	1.0
./model.xml	obj	R_AMMQLT8	0.007504769119959228	optimal	0.0	0.007504769120062704	1.0
./model.xml	obj	R_AMMQT8	0.0	optimal	0.0	0.007504769120062697	1.0
./model.xml	obj	R_AMMQT8_2	0.0	optimal	0.0	0.007504769120062697	1.0
./model.xml	obj	R_AMPMS	0.016735635137509065	optimal	0.0	0.016735635137509402	1.0
./model.xml	obj	R_AMPMS2	0.0	optimal	0.0	0.016735635137509402	1.0
./model.xml	obj	R_AMPN	0.0	optimal	0.0	-2.2666313270747204e-12	1.0
./model.xml	obj	R_AMPTASECG	6.932830665327136	optimal	0.0	6.932830665322399	1.0
./model.xml	obj	R_AMPTASEPG	0.0	optimal	0.0	-4.533262654149439e-12	1.0
./model.xml	obj	R_ANHGMtex	0.0	optimal	-3.358974193070154e-13	0.0	1.0
./model.xml	obj	R_ANPRT	0.0	optimal	0.0	-9.714134258891656e-13	1.0
./model.xml	obj	R_ANS	0.0	optimal	0.0	-9.714134258891656e-13	1.0
./model.xml	obj	R_AP4AH	0.0	optimal	0.0	-2.2666313270747196e-12	1.0
./model.xml	obj	R_AP4AS	0.0	optimal	0.0	-2.2666313270747196e-12	1.0
./model.xml	obj	R_APENTAMAH	0.0	optimal	-6.658488288073884e-14	-4.533262654149439e-12	1.0
./model.xml	obj	R_APH181	0.0	optimal	0.0	-1.6738200569167153e-12	1.0
./model.xml	obj	R_APRAUR	0.0	optimal	0.0	-1.0073917009220976e-12	1.0
./model.xml	obj	R_APSR	0.0	optimal	0.0	-2.2666313270747188e-12	1.0
./model.xml	obj	R_APTNAT	0.0	optimal	-6.658488288073884e-14	-4.533262654149439e-12	1.0
./model.xml	obj	R_ARABRr	0.0	optimal	-999.9999999999999	1000.0	1.0
./model.xml	obj	R_ARBabcpp	0.0	optimal	0.0	3.4674485505092897e-12	1.0
./model.xml	obj	R_ARBt2r	0.0	optimal	-999.9999999999999	1000.0	1.0
./model.xml	obj	R_ARBt3ipp	0.0	optimal	0.0	3.4674485505092897e-12	1.0
./model.xml	obj	R_ARGDr	0.0	optimal	-1.5786381123345073e-12	1.7337242752546449e-12	1.0
./model.xml	obj	R_ARGN	0.0	optimal	0.0	977.8014933246905	1.0
./model.xml	obj	R_ARGORNt7pp	0.0	optimal	-4.735914337003549e-12	1000.0000000000013	1.0
./model.xml	obj	R_ARGSL	0.0	optimal	0.0	6.419697225311847e-13	1.0
./model.xml	obj	R_ARGSS	0.0	optimal	0.0	6.419697225311847e-13	1.0
./model.xml	obj	R_ARGabc	0.0	optimal	0.0	3.4674485505092897e-12	1.0
./model.xml	obj	R_ARGabcpp	0.0	optimal	0.0	3.4674485505092897e-12	1.0
./model.xml	obj	R_ARGt3pp	0.0	optimal	0.0	1000.0	1.0
./model.xml	obj	R_ARGt5r	22.198506675309787	optimal	22.19850667530492	1000.0	1.0
./model.xml	obj	R_ASAD	-7.504769119959228	optimal	-7.5047691199639335	-7.504769119959228	1.0
./model.xml	obj	R_ASNN	0.0	optimal	0.0	981.9093787978795	1.0
./model.xml	obj	R_ASNS1	0.0	optimal	0.0	-3.2295483160179292e-12	1.0
./model.xml	obj	R_ASNt2rpp	18.090621202117703	optimal	18.090621202116075	1000.0	1.0
./model.xml	obj	R_ASNtex	18.090621202117703	optimal	18.090621202116075	1000.0	1.0
