exchange,diff
EX_ascb__L_e,0.1959101054100274
EX_25dkglcn_e,0.18611460013948866
EX_12dgr160_e,0.09795505270499139
EX_1ag160_e,0.09795505270499139
EX_1ag180_e,0.09795505270499139
EX_1ag181d9_e,0.09795505270499139
EX_1ag182d9d12_e,0.09795505270499139
EX_12dgr180_e,0.09795505270499139
EX_amp_e,0.04306605279057518
EX_arg__L_e,0.034669915770709325
EX_abg4_e,0.02078086454718442
EX_4abut_e,0.020751436862762818
EX_asp__L_e,0.020751436862748163
EX_ala_L_gln__L_e,0.017448163387975058
EX_4abzglu_e,0.015446644000577048
EX_alahis_e,0.012225736762140782
EX_ala_L_his__L_e,0.01222573676211347
EX_2pglyc_e,0.006432861517394195
EX_ala_L_thr__L_e,0.005911507023352747
EX_ala_L_Thr__L_e,0.005911507023320217
EX_asn__L_e,0.004702922979842872
EX_acgam_e,0.003678350532423491
EX_alatrp_e,0.0033804892760465055
EX_acald_e,0.0009411552659266409
EX_ala_B_e,2.785664178028835e-05
EX_4abz_e,2.732140649075454e-05
EX_4ahmmp_e,1.2222398041106253e-05
EX_ac_e,7.87148124459236e-14
EX_actn__R_e,5.2735593669694936e-14
EX_anhgm_e,3.7192471324942744e-14
EX_alagly_e,3.4083846855992306e-14
EX_4hphac_e,2.986499936241671e-14
EX_5dglcn_e,2.986499936241671e-14
EX_ad_e,2.120525977034049e-14
EX_ala__L_e,2.120525977034049e-14
EX_ala_L_glu__L_e,2.120525977034049e-14
EX_acysbmn_e,2.120525977034049e-14
EX_3hcinnm_e,1.6209256159527285e-14
EX_3h4atb_e,1.6209256159527285e-14
EX_3mb_e,1.6209256159527285e-14
EX_bz_e,1.4765966227514582e-14
EX_but_e,1.4765966227514582e-14
EX_btn_e,1.4765966227514582e-14
EX_ca2_e,1.4765966227514582e-14
EX_acac_e,1.3655743202889425e-14
EX_ala_L_asp__L_e,1.27675647831893e-14
EX_ala_L_leu__L_e,1.0769163338864018e-14
EX_aso3_e,9.992007221626409e-15
EX_4hba_e,7.771561172376096e-15
EX_ala__D_e,7.549516567451064e-15
EX_35dnta_e,6.439293542825908e-15
EX_arbt6p_e,6.217248937900877e-15
EX_arbt_e,6.217248937900877e-15
EX_2m35mdntha_e,2.55351295663786e-15
EX_bmn_e,3.3306690738754696e-16
