model,medium,doubling_time [min],growth_value,complete
iCstr1054FB23,RPMI,inf,0.0,"EX_cobalt2_e, EX_cu2_e, EX_mn2_e, EX_zn2_e"
iCstr1197FB23,RPMI,61.91412975986307,0.6717179260194885,"EX_cobalt2_e, EX_cu2_e, EX_istfrnA_e, EX_mn2_e, EX_zn2_e"
iCstr1115FB23,RPMI,52.15447253997669,0.7974163826835494,"EX_cobalt2_e, EX_cu2_e, EX_istfrnA_e, EX_mn2_e, EX_zn2_e"
iCstr1116FB23,RPMI,51.67892464506234,0.8047541840166815,"EX_cobalt2_e, EX_cu2_e, EX_istfrnA_e, EX_mn2_e, EX_nmn_e, EX_zn2_e"
KC_Na_01,RPMI,19.128675766563436,2.17416152279047,"EX_cit_e, EX_mn2_e, EX_cobalt2_e, EX_zn2_e, EX_cmp_e, EX_cu_e, EX_fe2_e"
iCstr1054FB23,LB,57.82395178357114,0.719231902192698,True
iCstr1197FB23,LB,59.6799908894818,0.6968638938067678,True
iCstr1115FB23,LB,50.336478652420354,0.826216532164929,True
iCstr1116FB23,LB,50.6244336615321,0.8215169598074683,EX_nmn_e
KC_Na_01,LB,27.68298924544106,1.502324422585459,EX_cit_e
iCstr1054FB23,M9,1.2329224161718187e+28,3.3731912315073795e-27,"EX_cobalt2_e, EX_cu2_e, EX_mn2_e, EX_zn2_e"
iCstr1197FB23,M9,-5.019160254460743e+30,-8.286013740373191e-30,"EX_cobalt2_e, EX_cu2_e, EX_fe2_e, EX_mn2_e, EX_pnto__R_e, EX_zn2_e"
iCstr1115FB23,M9,74.32506744335491,0.5595532202549652,"EX_cobalt2_e, EX_cu2_e, EX_fe2_e, EX_mn2_e, EX_pnto__R_e, EX_s_e, EX_zn2_e"
iCstr1116FB23,M9,-4464327048532231.0,-9.315811852823412e-15,"EX_cobalt2_e, EX_cu2_e, EX_fe2_e, EX_mn2_e, EX_nmn_e, EX_pnto__R_e, EX_zn2_e"
KC_Na_01,M9,46.83813703608478,0.8879266654341115,"EX_cit_e, EX_mn2_e, EX_cobalt2_e, EX_zn2_e, EX_cmp_e, EX_cu_e, EX_fe2_e, EX_pnto__R_e, EX_nac_e"
iCstr1054FB23,CGXII,75.81617006455421,0.5485482951484573,EX_cobalt2_e
iCstr1197FB23,CGXII,-1.7601829553407169e+30,-2.3627561389234343e-29,"EX_cobalt2_e, EX_pnto__R_e"
iCstr1115FB23,CGXII,74.32506744336833,0.5595532202548642,"EX_cobalt2_e, EX_pnto__R_e, EX_s_e"
iCstr1116FB23,CGXII,1404021920434584.8,2.9621211911509036e-14,"EX_cobalt2_e, EX_nmn_e, EX_pnto__R_e"
KC_Na_01,CGXII,46.838273332076184,0.8879240816316664,"EX_cit_e, EX_cobalt2_e, EX_cmp_e, EX_pnto__R_e, EX_nac_e"
