	Cstr_1115
EX_4abut_e	0.8326496949747296
EX_4abzglu_e	0.8162620300863777
EX_4ahmmp_e	0.8162391863590166
EX_5mcsn_e	0.8168515344297813
EX_LalaLglu_e	0.8162191295008395
EX_abg4_e	0.8162637016290277
EX_acgam_e	1.0659906711198786
EX_acglu_e	0.8162191295008242
EX_acysbmn_e	0.8162191295007817
EX_ala_B_e	0.8162191295008007
EX_ala_L_asp__L_e	0.8162191295007957
EX_ala_L_glu__L_e	0.816219129522405
EX_ala_L_thr__L_e	0.8216940710669136
EX_ala__D_e	0.8237890252416428
EX_ala__L_e	0.8237890252416319
EX_ala_L_gln__L_e	0.8263127051529722
EX_ala_L_his__L_e	0.825152040245741
EX_ala_L_leu__L_e	0.8162191295008075
EX_alagly_e	0.8162191294967679
EX_alahis_e	0.8251520402457775
EX_ala_L_Thr__L_e	0.8216940710540985
EX_alatrp_e	0.8217474104510328
EX_anhgm_e	0.8162191295008459
EX_arg__L_e	4.940196519645374
EX_asn__L_e	0.8218788995616185
EX_asp__L_e	0.8326496949746892
EX_bmn_e	0.8162191295008312
EX_cgly_e	0.8162191295008319
EX_chol_e	0.8162191295008464
EX_cmcbtt_e	0.8162191295008383
EX_cyan_e	0.8162191295008431
EX_cys__L_e	0.8162191295007621
EX_fe3pyovd_kt_e	0.8162191295008326
EX_g3pe_e	0.8243234590353473
EX_gam_e	13.068782308177278
EX_gln__L_e	0.8229205560806885
EX_glu__L_e	0.8326496949747332
EX_gly_asn__L_e	0.8235104220990206
EX_gly_asp__L_e	0.8162191295004754
EX_gly_e	0.8368704797420442
EX_gly_gln__L_e	0.8366590460698
EX_gly_glu__L_e	0.8162191295008112
EX_gly_leu__L_e	0.816219129500841
EX_gly_met__L_e	0.8193068546030038
EX_gly_pro__L_e	0.8162191295010051
EX_gly_tyr__L_e	0.8236474656404689
EX_glyb_e	0.8162191295008315
EX_glygln_e	0.8366590460692938
EX_glyglu_e	0.8162191295006107
EX_glygly_e	0.8204547979495188
EX_glyglygln_e	0.843005365720715
EX_glymet_e	0.8193068546029838
EX_gly_phe__L_e	0.8258980809037487
EX_glyser_e	0.8247346566756129
EX_gthrd_e	0.8162191295008427
EX_gua_e	0.8469034938563191
EX_his__L_e	0.824990809705493
EX_hisgly_e	0.8368024005414437
EX_hishis_e	0.8362738289171124
EX_hxan_e	0.857732883628837
EX_ile__L_e	0.8210868469449221
EX_ind3ac_e	0.8162191295008389
EX_indole_e	0.8162191295008325
EX_istfrnA_e	0.8162191295008239
EX_istfrnB_e	0.8162191295008269
EX_leu__L_e	0.8169701947521117
EX_leuleu_e	0.8162191295008397
EX_lys__L_e	0.8231358056535536
EX_lysglugly_e	0.8225549418112537
EX_met_L_ala__L_e	0.8185327352573971
EX_met__D_e	0.8182750204505426
EX_met__L_e	0.8182750204505443
EX_metsox_R__L_e	0.8185327352574089
EX_metsox_S__L_e	0.81853273525739
EX_nh4_e	0.8237890252416602
EX_no2_e	0.8162191295008341
EX_no3_e	1.12160076263918
EX_orn__L_e	0.8162191295008352
EX_peamn_e	0.8162191295008405
EX_phe__L_e	0.8246363048266153
EX_pheme_e	0.8162191295008269
EX_pnto__R_e	0.816219129500841
EX_pro__L_e	0.8162191295007852
EX_progly_e	0.8162191295008316
EX_prohisglu_e	0.8249908097055049
EX_ptrc_e	0.8162191295008314
EX_pyovd_kt_e	0.8162191295008322
EX_ribflv_e	0.8163209096597103
EX_salchs4_e	0.8162191295008395
EX_salchs4fe_e	0.8162191295002539
EX_ser__L_e	0.9753184768290885
EX_serglugly_e	0.8261712160477802
EX_spmd_e	0.8162191295007537
EX_stfrnA_e	0.8162191295008757
EX_stfrnB_e	0.8162191295008449
EX_taur_e	0.8162191295008341
EX_tcynt_e	0.8162191295008449
EX_thm_e	0.8162637016290398
EX_thr__L_e	0.8500384844298109
EX_trp__L_e	0.8216514608926614
EX_tyr__L_e	0.8237646063723105
EX_ura_e	0.8228845239399857
EX_urea_e	0.8237890252416429
EX_val__L_e	0.8176768939655447
EX_xtsn_e	0.8429963830987428
EX_na1_e	0.8162191295008299
EX_ni2_e	0.8162191295008189
EX_btn_e	0.8162191295008394
