	Cstr_1197
EX_acysbmn_e	0.7900518722382747
EX_btn_e	0.79005187223824
EX_cgly_e	0.790051872239391
EX_cys__L_e	0.7900518722383196
EX_gly_met__L_e	0.7944015220034168
EX_glymet_e	0.7944015220034129
EX_gthrd_e	0.7900518722382693
EX_h2s_e	0.7905460557744196
EX_lipoate_e	0.790051872238273
EX_met_L_ala__L_e	0.7936732574386292
EX_met__D_e	0.7936732574385368
EX_met__L_e	0.7936732574385428
EX_metsox_R__L_e	0.7939158638850831
EX_metsox_S__L_e	0.793915863885083
EX_s_e	0.9399488918063018
EX_so3_e	0.7900518722383465
EX_so4_e	0.7901737375936452
EX_taur_e	0.7900518722382575
EX_tcynt_e	0.7900518722382627
EX_thm_e	0.7900929361827932
EX_tsul_e	0.7900518722382688
