	Cstr_14
EX_12dgr160_e	2.5816546228901727
EX_12dgr180_e	2.581654622890187
EX_1ag160_e	3.816068738886704
EX_1ag180_e	3.816068738886699
EX_1ag181d9_e	3.8160687388867274
EX_1ag182d9d12_e	3.816068738886699
EX_25dkglcn_e	10.391710704796244
EX_2pglyc_e	0.0
EX_3h4atb_e	0.0
EX_3hcinnm_e	0.1960425239846777
EX_3mb_e	0.026818451124022775
EX_4abut_e	0.32163765672573874
EX_4abz_e	0.0
EX_4abzglu_e	0.2993194529439749
EX_4ahmmp_e	0.0
EX_4hba_e	0.0
EX_4hphac_e	0.22259098926374205
EX_5dglcn_e	0.0
EX_5drib_e	0.0
EX_5mcsn_e	0.0
EX_5mdru1p_e	0.0
EX_6apa_e	0.0
EX_6atha_e	0.04462810617574033
EX_LalaLglu_e	0.27012436904125225
EX_R_3hcmrs7e_e	0.0
EX_abg4_e	0.32165495979986575
EX_ac_e	0.05718858268808206
EX_acac_e	0.0
EX_acald_e	0.07847660201284819
EX_acgam_e	0.0
EX_actn__R_e	0.07847660201284727
EX_acysbmn_e	0.0
EX_ad_e	0.07039736574308882
EX_ala_B_e	0.0
EX_ala_L_asp__L_e	0.25830440521567105
EX_ala_L_glu__L_e	0.27012436904125087
EX_ala_L_thr__L_e	0.24712829500915084
EX_ala__D_e	0.29028728972874485
EX_ala__L_e	0.2902872897287451
EX_ala_L_gln__L_e	0.27834029513827074
EX_ala_L_his__L_e	0.2918055723807749
EX_ala_L_leu__L_e	0.16998934223369275
EX_alagly_e	0.23533653691940248
EX_alahis_e	0.29180557238078375
EX_ala_L_Thr__L_e	0.24712829500914724
EX_alatrp_e	0.17317585541254238
EX_amp_e	0.0
EX_anhgm_e	0.0
EX_arbt6p_e	0.0
EX_arbt_e	0.0
EX_arg__L_e	0.30809693512144604
EX_ascb__L_e	12.54709553833014
EX_asn__L_e	0.2061150299843657
EX_asp__L_e	0.3216376567257469
EX_bmn_e	0.0
EX_btn_e	0.0
EX_but_e	0.12743373861085433
EX_bz_e	0.0
EX_ca2_e	0.0
EX_cgly_e	0.24119530168676936
EX_chol_e	0.12424297630740905
EX_chols_e	0.0
EX_cit_e	0.2782262871594833
EX_cl_e	0.0
EX_cmcbtt_e	0.0
EX_co2_e	0.0
EX_cobalt2_e	0.0
EX_crn_e	0.07039736574309073
EX_cu2_e	0.0
EX_cyan_e	0.0
EX_cys__L_e	0.1887849749612842
EX_dag181d9_e	2.5816546228901727
EX_dag182d9d12_e	2.581654622890177
EX_dca_e	0.06846880911491103
EX_dcyt_e	0.0
EX_dhptd_e	0.0
EX_drib_e	0.3105675618893747
EX_dxyl_e	0.0
EX_enter_e	0.0
EX_fe3dcit_e	0.2681270175577536
EX_fe3pyovd_kt_e	0.0
EX_feenter_e	0.0
EX_fol_e	0.0
EX_for_e	0.339383255609052
EX_fru_e	12.547095538330218
EX_fum_e	0.32163765672573613
EX_g3pe_e	0.0
EX_galt_e	9.443573398764679
EX_gam_e	0.0
EX_glc__D_e	12.547095538330225
EX_glcn__D_e	8.928468257793746
EX_glcr_e	0.0
EX_glcur_e	0.042459983619398144
EX_gln__L_e	0.24640796236381293
EX_glu__L_e	0.3216376567257493
EX_gly_asn__L_e	0.24526952529551055
EX_gly_asp__L_e	0.24332736772919517
EX_gly_e	0.31547283235708723
EX_gly_gln__L_e	0.27059631244624055
EX_gly_glu__L_e	0.2626093223732265
EX_gly_leu__L_e	0.1502872082479116
EX_gly_met__L_e	0.0
EX_gly_phe__L_e	0.17363362183652364
EX_gly_pro__L_e	0.25568543287120665
EX_gly_tyr__L_e	0.0
EX_glyald_e	11.900554048394882
EX_glyb_e	0.142426601103152
EX_glyc3p_e	0.0
EX_glyc_e	5.3518220991499925
EX_glyclt_e	0.3100414223865881
EX_glygln_e	0.2705963124462603
EX_glyglu_e	0.26260932237355533
EX_glygly_e	0.20125476205873435
