	Cstr_KC-Na-01
EX_glc__D_e	0.0
EX_2dhglcn_e	0.0
EX_34dhbz_e	0.0
EX_leu__L_e	0.0
EX_3hoxpac_e	0.0
EX_3mb_e	0.0
EX_LalaDgluMdap_e	0.0
EX_4hbz_e	0.0
EX_ala__L_e	0.0
EX_4hthr_e	0.0
EX_cl_e	0.0
EX_LalaDgluMdapDala_e	0.0
EX_5dglcn_e	0.0
EX_5mtr_e	0.0
EX_arab__L_e	0.0
EX_abt__L_e	0.0
EX_4abut_e	0.0
EX_acald_e	0.0
EX_acgam_e	0.0
EX_chol_e	0.0
EX_actn__R_e	0.0
EX_acysbmn_e	0.0
EX_ins_e	0.0
EX_ade_e	0.0
EX_akg_e	0.0
EX_mal__L_e	0.0
EX_asn__L_e	0.0
EX_ala__D_e	0.0
EX_gln__L_e	0.0
EX_gly_e	0.0
EX_ser__L_e	0.0
EX_thr__L_e	0.0
EX_arg__L_e	0.0
EX_cgly_e	0.0
EX_malt_e	0.0
EX_anhgm_e	0.0
EX_lys__L_e	0.0
EX_orn_e	0.0
EX_asp__L_e	0.0
EX_phe__L_e	0.0
EX_pro__L_e	0.0
EX_ala_B_e	0.0
EX_bmn_e	0.0
EX_ca2_e	0.0
EX_catechol_e	0.0
EX_cit_e	0.0
EX_cobalt2_e	0.0
EX_succ_e	0.0
EX_for_e	0.0
EX_cmp_e	0.0
EX_co2_e	0.0
EX_cu2_e	0.0
EX_cu_e	0.0
EX_glu__L_e	0.0
EX_dca_e	0.0
EX_dcyt_e	0.0
EX_2ddglcn_e	0.0
EX_lac__D_e	0.0
EX_drib_e	0.0
EX_ser__D_e	0.0
EX_hdcea_e	0.0
EX_ocdcea_e	0.0
EX_ttdca_e	0.0
EX_etha_e	0.0
EX_enter_e	0.0
EX_feenter_e	0.0
EX_fer_e	0.0
EX_fol_e	0.0
EX_fru_e	0.0
EX_fum_e	0.0
EX_gal_e	0.0
EX_gal_bD_e	0.0
EX_gam_e	0.0
EX_glcn_e	0.0
EX_glcn__D_e	0.0
EX_glyc3p_e	0.0
EX_glyald_e	0.0
EX_glyb_e	0.0
EX_glyclt_e	0.0
EX_glyc_e	0.0
EX_gua_e	0.0
EX_h2co3_e	0.0
EX_3hcinnm_e	0.0
EX_pheme_e	0.0
EX_his__L_e	0.0
EX_4hphac_e	0.0
EX_3hpppn_e	0.0
EX_hxan_e	0.0
EX_taur_e	0.0
EX_id3acald_e	0.0
EX_idon__L_e	0.0
EX_ile__L_e	0.0
EX_inost_e	0.0
EX_lcts_e	0.0
EX_lac__L_e	0.0
EX_malthp_e	0.0
EX_malthx_e	0.0
EX_man1p_e	0.0
EX_man_e	0.0
EX_met__L_e	0.0
EX_mmet_e	0.0
EX_ncam_e	0.0
EX_ump_e	0.0
EX_uri_e	0.0
EX_udcpo5_e	0.0
EX_octa_e	0.0
EX_pacald_e	0.0
EX_pac_e	0.0
EX_pnto__R_e	0.0
EX_ppa_e	0.0
EX_progly_e	0.0
EX_pser__D_e	0.0
EX_ptrc_e	0.0
EX_trp__L_e	0.0
EX_tyr__L_e	0.0
EX_val__L_e	0.0
EX_raffin_e	0.0
EX_spmd_e	0.0
EX_urea_e	0.0
EX_rib__D_e	0.0
EX_salchs4fe_e	0.0
EX_salchs4_e	0.0
EX_skm_e	0.0
EX_sucr_e	0.0
EX_tre_e	0.0
EX_ura_e	0.0
EX_vanln_e	0.0
EX_vanlt_e	0.0
EX_xan_e	0.0
EX_xyl__D_e	0.0
EX_nac_e	0.0
EX_cys__L_e	0.0
EX_pyr_e	0.0
EX_4abz_e	0.0
EX_ribflv_e	0.0
