	Cstr_KC-Na-01
EX_leu__L_e	0.0
EX_LalaDgluMdap_e	0.0
EX_ala__L_e	0.0
EX_4hthr_e	0.0
EX_LalaDgluMdapDala_e	0.0
EX_4abut_e	0.0
EX_acgam_e	0.0
EX_chol_e	0.0
EX_acysbmn_e	0.0
EX_ins_e	0.0
EX_nh4_e	0.0
EX_ade_e	0.0
EX_asn__L_e	0.0
EX_ala__D_e	0.0
EX_gln__L_e	0.0
EX_gly_e	0.0
EX_ser__L_e	0.0
EX_thr__L_e	0.0
EX_arg__L_e	0.0
EX_cgly_e	0.0
EX_anhgm_e	0.0
EX_lys__L_e	0.0
EX_orn_e	0.0
EX_asp__L_e	0.0
EX_phe__L_e	0.0
EX_pro__L_e	0.0
EX_ala_B_e	0.0
EX_bmn_e	0.0
EX_cmp_e	0.0
EX_glu__L_e	0.0
EX_dcyt_e	0.0
EX_ser__D_e	0.0
EX_etha_e	0.0
EX_enter_e	0.0
EX_feenter_e	0.0
EX_fol_e	0.0
EX_gam_e	0.0
EX_glyb_e	0.0
EX_gua_e	0.0
EX_pheme_e	0.0
EX_his__L_e	0.0
EX_hxan_e	0.0
EX_taur_e	0.0
EX_id3acald_e	0.0
EX_ile__L_e	0.0
EX_met__L_e	0.0
EX_mmet_e	0.0
EX_n2_e	0.0
EX_ncam_e	0.0
EX_no2_e	0.0
EX_ump_e	0.0
EX_no3_e	0.0
EX_no_e	0.0
EX_uri_e	0.0
EX_pnto__R_e	0.0
EX_progly_e	0.0
EX_pser__D_e	0.0
EX_ptrc_e	0.0
EX_trp__L_e	0.0
EX_tyr__L_e	0.0
EX_val__L_e	0.0
EX_spmd_e	0.0
EX_urea_e	0.0
EX_salchs4fe_e	0.0
EX_salchs4_e	0.0
EX_ura_e	0.0
EX_xan_e	0.0
EX_nac_e	0.0
EX_cys__L_e	0.0
EX_4abz_e	0.0
EX_ribflv_e	0.0
