,Id,Name,Determined Formula,Determined Charge,Previous Formula,Previous Charge,Inferrence Type,Reasoning,Used Databases,Previous Databases,Similarity
0,M_12dgr140_c,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",C31H60O5,0,C31H60O5,0,Inferred,unconstrained Target & Adherence,,,Same
1,M_12dgr140_p,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",C31H60O5,0,C31H60O5,0,Inferred,unconstrained Target & Adherence,,,Same
2,M_12dgr161_c,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",C35H64O5,0,C35H64O5,0,Inferred,unconstrained Target & Adherence,,,Same
3,M_12dgr161_p,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",C35H64O5,0,C35H64O5,0,Inferred,unconstrained Target & Adherence,,,Same
4,M_12dgr180_c,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,0,C39H76O5,0,Inferred,unconstrained Target & Adherence,,,Same
5,M_12dgr180_p,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,0,C39H76O5,0,Inferred,unconstrained Target & Adherence,,,Same
6,M_12dgr181_c,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",C39H72O5,0,C39H72O5,0,Inferred,unconstrained Target & Adherence,,,Same
7,M_12dgr181_p,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",C39H72O5,0,C39H72O5,0,Inferred,unconstrained Target & Adherence,,,Same
8,M_2agpe120_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),C17H36NO7P,0,C17H36NO7P,0,Inferred,unconstrained Target & Adherence,,,Same
9,M_2agpe120_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),C17H36NO7P,0,C17H36NO7P,0,Inferred,unconstrained Target & Adherence,,,Same
