,Id,Unbalanced Reaction,Unbalanced Type,Reason,Shared Metabolites,Mass Difference,Charge Difference
0,R_3HAD140,"Reaction(id='R_3HAD140', name='3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)', metabolites={Metabolite(id='M_h2o_c', name='H2O', formula=H2O, charge=0, SBO=247): 1.0, Metabolite(id='M_tmrs2eACP_c', name='Trans-Tetradec-2-enoyl-[acyl-carrier protein]', formula=C398H627N96O143PRS3, charge=0, SBO=247): 1.0, Metabolite(id='M_3hmrsACP_c', name='(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]', formula=C25H47N2O9PR, charge=-1, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -582.0}, SBO=178)","Mass, Charge",R_3HAD140,"M_tmrs2eACP_c, M_3hmrsACP_c, M_h2o_c, M_h_c","O: 135.0, C: 373.0, N: 94.0, S: 3.0",-581.0
1,R_C100SN,"Reaction(id='R_C100SN', name='Fatty acid biosynthesis (n-C10:0)', metabolites={Metabolite(id='M_ACP_c', name='Acyl carrier protein', formula=C11H22N2O7PR, charge=-2, SBO=247): 3.0, Metabolite(id='M_co2_c', name='CO2', formula=CO2, charge=0, SBO=247): 3.0, Metabolite(id='M_dcaACP_c', name='Decanoyl-ACP (n-C10:0ACP)', formula=C21H40N2O8PR, charge=-2, SBO=247): 1.0, Metabolite(id='M_h2o_c', name='H2O', formula=H2O, charge=0, SBO=247): 4.0, Metabolite(id='M_nadp_c', name='Nicotinamide adenine dinucleotide phosphate', formula=C21H25N7O17P3, charge=-3, SBO=247): 8.0, Metabolite(id='M_actACP_c', name='Acetoacetyl-ACP', formula=C4H5O2R, charge=0, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -29.0, Metabolite(id='M_malACP_c', name='Malonyl-[acyl-carrier protein]', formula=C14H24N2O10PR, charge=-2, SBO=247): -3.0, Metabolite(id='M_nadph_c', name='Nicotinamide adenine dinucleotide phosphate - reduced', formula=C21H26N7O17P3, charge=-4, SBO=247): -8.0}, SBO=399)","Mass, Charge",,,"C: 11.0, N: 2.0, O: 7.0, P: 1.0",-23.0
2,R_CPMPS,"Reaction(id='R_CPMPS', name='Cyclic pyranopterin monophosphate synthase', metabolites={Metabolite(id='M_cpmp_c', name='Cyclic pyranopterin monophosphate', formula=C10H11N5O7P, charge=-1, SBO=247): 1.0, Metabolite(id='M_ppi_c', name='Diphosphate', formula=HO7P2, charge=-3, SBO=247): 1.0, Metabolite(id='M_gtp_c', name='GTP', formula=C10H12N5O14P3, charge=-4, SBO=247): -1.0, Metabolite(id='M_h2o_c', name='H2O', formula=H2O, charge=0, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 2.0}, SBO=178)","Mass, Charge",R_CPMPS,"M_ppi_c, M_h2o_c, M_cpmp_c, M_h_c, M_gtp_c",O: -1.0,2.0
3,R_FA140ACPHi,"Reaction(id='R_FA140ACPHi', name='Fatty-acyl-ACP hydrolase', metabolites={Metabolite(id='M_ACP_c', name='Acyl carrier protein', formula=C11H22N2O7PR, charge=-2, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 580.0, Metabolite(id='M_ttdca_c', name='Tetradecanoate (n-C14:0)', formula=C14H27O2, charge=-1, SBO=247): 1.0, Metabolite(id='M_h2o_c', name='H2O', formula=H2O, charge=0, SBO=247): -1.0, Metabolite(id='M_myrsACP_c', name='Myristoyl-ACP (n-C14:0ACP)', formula=C398H627N96O143PRS3, charge=-2, SBO=247): -1.0}, SBO=376)","Mass, Charge",,,"C: -373.0, N: -94.0, O: -135.0, S: -3.0",579.0
4,R_FASC140ACP,"Reaction(id='R_FASC140ACP', name='Fatty acid biosynthesis (n-C14:0)', metabolites={Metabolite(id='M_ACP_c', name='Acyl carrier protein', formula=C11H22N2O7PR, charge=-2, SBO=247): 1.0, Metabolite(id='M_co2_c', name='CO2', formula=CO2, charge=0, SBO=247): 1.0, Metabolite(id='M_h2o_c', name='H2O', formula=H2O, charge=0, SBO=247): 1.0, Metabolite(id='M_myrsACP_c', name='Myristoyl-ACP (n-C14:0ACP)', formula=C398H627N96O143PRS3, charge=-2, SBO=247): 1.0, Metabolite(id='M_nadp_c', name='Nicotinamide adenine dinucleotide phosphate', formula=C21H25N7O17P3, charge=-3, SBO=247): 2.0, Metabolite(id='M_ddcaACP_c', name='Dodecanoyl-ACP (n-C12:0ACP)', formula=C23H44N2O8PR, charge=-2, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -581.0, Metabolite(id='M_malACP_c', name='Malonyl-[acyl-carrier protein]', formula=C14H24N2O10PR, charge=-2, SBO=247): -1.0, Metabolite(id='M_nadph_c', name='Nicotinamide adenine dinucleotide phosphate - reduced', formula=C21H26N7O17P3, charge=-4, SBO=247): -2.0}, SBO=399)","Mass, Charge",,,"C: 373.0, N: 94.0, O: 135.0, S: 3.0",-579.0
5,R_FASC160ACP,"Reaction(id='R_FASC160ACP', name='Fatty acid biosynthesis (n-C16:0)', metabolites={Metabolite(id='M_ACP_c', name='Acyl carrier protein', formula=C11H22N2O7PR, charge=-2, SBO=247): 1.0, Metabolite(id='M_co2_c', name='CO2', formula=CO2, charge=0, SBO=247): 1.0, Metabolite(id='M_h2o_c', name='H2O', formula=H2O, charge=0, SBO=247): 1.0, Metabolite(id='M_nadp_c', name='Nicotinamide adenine dinucleotide phosphate', formula=C21H25N7O17P3, charge=-3, SBO=247): 2.0, Metabolite(id='M_palmACP_c', name='Palmitoyl-ACP (n-C16:0ACP)', formula=C27H51N2O8PR, charge=-2, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 578.0, Metabolite(id='M_malACP_c', name='Malonyl-[acyl-carrier protein]', formula=C14H24N2O10PR, charge=-2, SBO=247): -1.0, Metabolite(id='M_myrsACP_c', name='Myristoyl-ACP (n-C14:0ACP)', formula=C398H627N96O143PRS3, charge=-2, SBO=247): -1.0, Metabolite(id='M_nadph_c', name='Nicotinamide adenine dinucleotide phosphate - reduced', formula=C21H26N7O17P3, charge=-4, SBO=247): -2.0}, SBO=399)","Mass, Charge",,,"C: -373.0, N: -94.0, O: -135.0, S: -3.0",580.0
6,R_FASC161ACP,"Reaction(id='R_FASC161ACP', name='Fatty acid biosynthesis (n-C16:1)', metabolites={Metabolite(id='M_ACP_c', name='Acyl carrier protein', formula=C11H22N2O7PR, charge=-2, SBO=247): 1.0, Metabolite(id='M_co2_c', name='CO2', formula=CO2, charge=0, SBO=247): 1.0, Metabolite(id='M_h2o_c', name='H2O', formula=H2O, charge=0, SBO=247): 1.0, Metabolite(id='M_hdeACP_c', name='Cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)', formula=C27H49N2O8PR, charge=-1, SBO=247): 1.0, Metabolite(id='M_nadp_c', name='Nicotinamide adenine dinucleotide phosphate', formula=C21H25N7O17P3, charge=-3, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 579.0, Metabolite(id='M_malACP_c', name='Malonyl-[acyl-carrier protein]', formula=C14H24N2O10PR, charge=-2, SBO=247): -1.0, Metabolite(id='M_myrsACP_c', name='Myristoyl-ACP (n-C14:0ACP)', formula=C398H627N96O143PRS3, charge=-2, SBO=247): -1.0, Metabolite(id='M_nadph_c', name='Nicotinamide adenine dinucleotide phosphate - reduced', formula=C21H26N7O17P3, charge=-4, SBO=247): -1.0}, SBO=399)","Mass, Charge",,,"C: -373.0, N: -94.0, O: -135.0, S: -3.0",581.0
7,R_GLBRAN2,"Reaction(id='R_GLBRAN2', name='1,4-alpha-glucan branching enzyme (glycogen -> bglycogen)', metabolites={Metabolite(id='M_bglycogen_c', name='Branching glycogen', formula=C30H52O26, charge=0, SBO=247): 1.0, Metabolite(id='M_glycogen_c', name='Glycogen', formula=C24H42O21, charge=0, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -10.0}, SBO=217)","Mass, Charge",R_GLBRAN2,"M_h_c, M_glycogen_c, M_bglycogen_c","C: 6.0, O: 5.0",-10.0
8,R_GLCP,"Reaction(id='R_GLCP', name='Glycogen phosphorylase', metabolites={Metabolite(id='M_g1p_c', name='D-Glucose 1-phosphate', formula=C6H11O9P, charge=-2, SBO=247): 1.0, Metabolite(id='M_glycogen_c', name='Glycogen', formula=C24H42O21, charge=0, SBO=247): -1.0, Metabolite(id='M_pi_c', name='Phosphate', formula=HO4P, charge=-2, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 32.0}, SBO=216)","Mass, Charge",R_GLCP,"M_g1p_c, M_glycogen_c, M_pi_c, M_h_c","C: -18.0, O: -16.0",32.0
9,R_GLCP2,"Reaction(id='R_GLCP2', name='Glycogen phosphorylase', metabolites={Metabolite(id='M_g1p_c', name='D-Glucose 1-phosphate', formula=C6H11O9P, charge=-2, SBO=247): 1.0, Metabolite(id='M_bglycogen_c', name='Branching glycogen', formula=C30H52O26, charge=0, SBO=247): -1.0, Metabolite(id='M_pi_c', name='Phosphate', formula=HO4P, charge=-2, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 42.0}, SBO=217)","Mass, Charge",R_GLCP2,"M_h_c, M_g1p_c, M_pi_c, M_bglycogen_c","C: -24.0, O: -21.0",42.0
