,0,1,2,3
EX_4abut_e,153.68652838349863,0.0,0.0,0.0
EX_ala_L_Thr__L_e,0.0,0.0,264.98642871635116,0.0
EX_ca2_e,0.004164,0.004164,0.004164,0.004164
EX_chols_e,0.0,0.20050080000004145,0.0,0.0
EX_cl_e,0.004164,0.004164,0.004164,0.004164
EX_cobalt2_e,8e-05,8e-05,8e-05,8e-05
EX_cu2_e,0.0005672,0.0005672,0.0005672,0.0005672
EX_fe2_e,0.0,0.0,0.0,0.011618400000000001
EX_feenter_e,0.011618400000000001,0.0,0.0,0.0
EX_glyc3p_e,0.0,0.0,0.0,0.7888744000019106
EX_h2o2_e,684.6867540314389,0.0,0.0,778.3400322285635
EX_ile__L_e,0.0,221.48687692991578,0.0,0.0
EX_istfrnA_e,0.0,0.011618400000000001,0.0,0.0
EX_k_e,0.15615440000000003,0.15615439999999126,0.15615440000000003,0.15615440000000003
EX_mg2_e,0.006940000000000001,0.006940000000000001,0.006940000000000001,0.006940000000000001
EX_mn2_e,0.0005528,0.0005528,0.0005528,0.0005528
EX_o2_e,0.0,1000.0,1000.0,0.0
EX_pi_e,0.7888744000005943,0.788874399997573,0.7888743999893919,0.0
EX_ptrc_e,0.0,0.0,0.0,76.65466605714116
EX_salchs4fe_e,0.0,0.0,0.011618400000088513,0.0
EX_so4_e,0.20050080000010528,0.0,0.20050080000013062,0.20050080000019424
EX_zn2_e,0.0002728,0.0002728,0.0002728,0.0002728
