Compound	Object ID	Chemical Formula	InChI-Key	ChEBI
(S)-norlaudanine	CPD-15801	C19H24NO4	InChIKey=FUTZESSLBXJDFG-HNNXBMFYSA-O	
5''-phosphoribostamycin	CPD-14178	C17H37N4O13P	InChIKey=YSYVVCNYHFEBSE-VVPCINPTSA-P	65082
(13<i>S</i>,14<i>R</i>)-13-<i>O</i>-acetyl-1-hydroxy-<i>N</i>-methylcanadine	CPD-14829	C23H26NO7	InChIKey=UNFCTLFLKCGAOK-LOMQJKJHSA-O	141640
apramycin	CPD-14157	C21H46N5O11	InChIKey=XZNUGFQTQHRASN-XQENGBIVSA-S	2790
fumigaclavine B	CPD-14467	C16H21N2O	InChIKey=JUXRVSRUBIFVKE-CIGJXOAISA-O	67146
<i>O</i>-glucosyl-tomatidine	CPD-11598	C33H56NO7	InChIKey=JDRMNHOIHYWSFN-MULVFALLSA-O	
(<i>S</i>)-nicotine	NICOTINE	C10H15N2	InChIKey=SNICXCGAKADSCV-JTQLQIEISA-O	59806
cinchonidinone	CPD-9833	C19H20N2O	InChIKey=AEFOLTVWSRMXMW-LWINWCPBSA-N	80767
solanidine	CPD-9217	C27H44NO	InChIKey=JVKYZPBMZPJNAJ-OQFNDJACSA-O	166996
2-descarboxy-betanidin	CPD-8854	C17H15N2O6	InChIKey=GHQCCRRSVBDNAW-LBPRGKRZSA-M	81320
betalamate	CPD-8651	C9H7NO5	InChIKey=YQDKULBMDMPFLH-FSRBREEPSA-L	27483
<i>N</i>-methylanabasine	CPD-22879	C11H17N2	InChIKey=WHAIHNKQZOMXJJ-UHFFFAOYSA-O	
streptomycin	STREPTOMYCIN	C21H42N7O12	InChIKey=UCSJYZPVAKXKNQ-HZYVHMACSA-Q	58007
dihydrometanicotine	CPD-21443	C10H17N2	InChIKey=UZEWTSSWPCYGLO-UHFFFAOYSA-O	
validamycin A	VALIDAMYCIN-A	C20H36NO13	InChIKey=JARYYMUOCXVXNK-CSLFJTBJSA-O	90869
jatrorrhizine	CPD-19603	C20H20NO4	InChIKey=MXTLAHSTUOXGQF-UHFFFAOYSA-O	6087
sibiromycin	CPD-18442	C24H34N3O7	InChIKey=RAGFPHFDFVNLCG-INYQBOQCSA-O	90941
(2R)-3-[(9S, 9aR)-9-hydroxy-2,2-dimethyl-3-oxo-1H, 2H, 3H, 9H, 9aH-imidazolidino[1,2-a] indol-9-yl]-2-(2-acetyl-4-oxo-3,4-dihydroquinazolin-3-yl) propanoate	CPD-17885	C25H24N4O6	InChIKey=GGEONVRSCZGERO-KPCPBYSCSA-N	
validamycin B	CPD-18790	C20H36NO14	InChIKey=QYKWCMVFBWGYRE-XROCGEGMSA-O	90868
glandicoline A	CPD-17389	C22H21N5O3	InChIKey=IQKCBJLWCVXJOG-CXUHLZMHSA-N	
fortimicin KL1	CPD-14219	C13H32N4O7	InChIKey=BYPFOZNNHPOWJK-IXMAVWSQSA-R	81424
(S)-tetrahydropapaverine	CPD-15798	C20H26NO4	InChIKey=YXWQTVWJNHKSCC-INIZCTEOSA-O	
cephaeline	CPD-14816	C28H40N2O4	InChIKey=DTGZHCFJNDAHEN-OZEXIGSWSA-P	3533
festuclavine	CPD-14464	C16H21N2	InChIKey=VLMZMRDOMOGGFA-WDBKCZKBSA-O	65045
ergotamine	CPD-12363	C33H36N5O5	InChIKey=XCGSFFUVFURLIX-VFGNJEKYSA-O	190463
(1<i>R</i>,2<i>S</i>)-norephedrine	CPD-9951	C9H14NO	InChIKey=DLNKOYKMWOXYQA-CBAPKCEASA-O	80680
(S)-autumnaline	CPD-9790	C21H27NO5	InChIKey=GZUNPCNPOLOTLX-INIZCTEOSA-N	80672
&alpha;-chaconine	CPD-9214	C45H74NO14	InChIKey=TYNQWWGVEGFKRU-AJDPQWBVSA-O	10219
celosianin II	CPD-8676	C40H40N2O22	InChIKey=MPMOZJNSLITZSA-VSOFAJKKSA-L	3530
pronuciferine	CPD-22649	C19H21NO3	InChIKey=WUYQEGNOQLRQAQ-CQSZACIVSA-N	42
5-hydroxy-9-methoxycamptothecin	CPD-21276	C21H18N2O6	InChIKey=PYOJODNTFHIGRT-ZYZRXSCRSA-N	
11-hydroxytigecycline	CPD-19261	C29H40N5O9	InChIKey=RKNGHEJZSVXSDR-GAABGNNBSA-O	142709
furostanol-26-aldehyde	CPD-18645	C27H42O4	InChIKey=CKJPUEYKSFDFTJ-VVDGRPBXSA-N	
7-chlorotetracycline	CPD-19258	C22H22N2O8Cl	InChIKey=CYDMQBQPVICBEU-XRNKAMNCSA-M	133598
tryptoquialanine	CPD-17869	C27H26N4O7	InChIKey=NWBIHDXUFYUNGB-LROXJONJSA-N	
oxytetracycline	CPD-19255	C22H24N2O9	InChIKey=IWVCMVBTMGNXQD-PXOLEDIWSA-N	133011
