ids,growth,status,name,reaction,class
lcl_CP069514_1_prot_QRP20144_1_1205,-1.7506150822053986e-13,optimal,bifunctional folylpolyglutamate synthase/dihydrofolate synthase [Corynebacterium striatum],R_DHFS,biochemical reaction
lcl_CP069514_1_prot_QRP18063_1_1741,-2.215489063049297e-09,optimal,shikimate kinase [Corynebacterium striatum],R_SHKK,phosphorylation
lcl_CP069514_1_prot_QRP18222_1_1921,0.0,optimal,"6,7-dimethyl-8-ribityllumazine synthase [Corynebacterium striatum]",R_RBFSa,biochemical reaction
lcl_CP069514_1_prot_QRP18231_1_1930,-6.544119279014025e-10,optimal,methionine adenosyltransferase [Corynebacterium striatum],R_METAT,transfer of a chemical group
lcl_CP069514_1_prot_QRP18600_1_2349,8.571617005989374e-15,optimal,FAD-binding protein [Corynebacterium striatum],R_ASPO5,biochemical reaction
lcl_CP069514_1_prot_QRP18600_1_2349,8.571617005989374e-15,optimal,FAD-binding protein [Corynebacterium striatum],R_ASPO6,redox reaction
lcl_CP069514_1_prot_QRP19739_1_965,-7.522125306036693e-15,optimal,GTP cyclohydrolase I FolE [Corynebacterium striatum],R_GTPCI,hydrolysis
lcl_CP069514_1_prot_QRP18681_1_2443,-2.3723303760926654e-09,optimal,3-phosphoshikimate 1-carboxyvinyltransferase [Corynebacterium striatum],R_PSCVT,transfer of a chemical group
lcl_CP069514_1_prot_QRP19761_1_989,-1.0494740399838189e-12,optimal,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Corynebacterium striatum],R_MEPCT,transfer of a chemical group
lcl_CP069514_1_prot_QRP19831_1_1067,7.406409337608273e-16,optimal,ammonia-dependent NAD(+) synthetase [Corynebacterium striatum],R_NADS1,biochemical reaction
lcl_CP069514_1_prot_QRP18223_1_1922,-7.827968726492217e-15,optimal,"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II [Corynebacterium striatum]",R_GTPCII,biochemical reaction
lcl_CP069514_1_prot_QRP18223_1_1922,-7.827968726492217e-15,optimal,"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II [Corynebacterium striatum]",R_GTPCII2,hydrolysis
lcl_CP069514_1_prot_QRP19184_1_340,3.248827168172052e-14,optimal,undecaprenyl-diphosphate phosphatase [Corynebacterium striatum],R_UDCPDP,biochemical reaction
lcl_CP069514_1_prot_QRP19692_1_915,1.0604547405461089e-11,optimal,adenylosuccinate synthase [Corynebacterium striatum],R_ADSS,biochemical reaction
lcl_CP069514_1_prot_QRP19820_1_1054,-4.92428699557549e-14,optimal,UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Corynebacterium striatum],R_UAGCVT,transfer of a chemical group
lcl_CP069514_1_prot_QRP18103_1_1786,-2.4936718773531292e-11,optimal,NAD kinase [Corynebacterium striatum],R_NADK,phosphorylation
lcl_CP069514_1_prot_QRP19665_1_884,-1.4451073634337794e-09,optimal,nucleosidase [Corynebacterium striatum],R_AHCYSNS,hydrolysis
lcl_CP069514_1_prot_QRP18516_1_2256,1.1843551194226265e-13,optimal,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU [Corynebacterium striatum],R_UAGDP,transfer of a chemical group
lcl_CP069514_1_prot_QRP17792_1_1429,0.0,optimal,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase [Corynebacterium striatum],R_UAGPT2,glycosylation
lcl_CP069514_1_prot_QRP17792_1_1429,0.0,optimal,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase [Corynebacterium striatum],R_UAGPT3,glycosylation
lcl_CP069514_1_prot_QRP18409_1_2129,4.965320258246967e-13,optimal,FAD-binding oxidoreductase [Corynebacterium striatum],R_GLYCTO1,redox reaction
lcl_CP069514_1_prot_QRP18409_1_2129,4.965320258246967e-13,optimal,FAD-binding oxidoreductase [Corynebacterium striatum],R_GLYCTO3,biochemical reaction
lcl_CP069514_1_prot_QRP18409_1_2129,4.965320258246967e-13,optimal,FAD-binding oxidoreductase [Corynebacterium striatum],R_LDH_D2,biochemical reaction
lcl_CP069514_1_prot_QRP18409_1_2129,4.965320258246967e-13,optimal,FAD-binding oxidoreductase [Corynebacterium striatum],R_UAPGR,redox reaction
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_1P2CBXLCYCL,biochemical reaction
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_ACALDt,passive transport
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_ATPHs,deamination
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_CO2t,passive transport
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_CO2tex,passive transport
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_CO2tpp,passive transport
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_DHPTDCs,biochemical reaction
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_FALDtpp,passive transport
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_FE3PYOVDL2,biochemical reaction
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_GLYCtpp,passive transport
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_GTPHs,deamination
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_H2CO3D2,biochemical reaction
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_H2O2tex,passive transport
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_H2Ot,passive transport
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_H2Otex,passive transport
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_H2Otpp,passive transport
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_H2SO,biochemical reaction
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_H2St1,passive transport
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_HCO3E,cleavage
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_MGSA,cleavage
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_NADHHR,biochemical reaction
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_NADPHHR,biochemical reaction
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_NH3c,biochemical reaction
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_NH4tex,passive transport
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_NH4tpp,passive transport
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_NOtpp,passive transport
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_O2tex,passive transport
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_O2tpp,passive transport
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_OMCDC,redox reaction
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_St,passive transport
spontaneous,-1.4452479955450792e-09,optimal,G_spontaneous,R_TCYNTtpp,passive transport
lcl_CP069514_1_prot_QRP18599_1_2348,-8.958809011488853e-12,optimal,carboxylating nicotinate-nucleotide diphosphorylase [Corynebacterium striatum],R_NNDPR,glycosylation
lcl_CP069514_1_prot_QRP17788_1_1425,2.646984587102412e-13,optimal,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [Corynebacterium striatum],R_UGMDDS,biochemical reaction
lcl_CP069514_1_prot_QRP18062_1_1740,-1.4452401410066882e-09,optimal,chorismate synthase [Corynebacterium striatum],R_CHORS,cleavage
lcl_CP069514_1_prot_QRP18016_1_1682,8.027976789181764e-13,optimal,1-deoxy-D-xylulose-5-phosphate synthase [Corynebacterium striatum],R_DXPS,transfer of a chemical group
lcl_CP069514_1_prot_QRP19742_1_968,1.398483969204686e-13,optimal,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [Corynebacterium striatum],R_HPPK,biochemical reaction
lcl_CP069514_1_prot_QRP19742_1_968,1.398483969204686e-13,optimal,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [Corynebacterium striatum],R_HPPK2,transfer of a chemical group
lcl_CP069514_1_prot_QRP18601_1_2350,4.550990489139013e-11,optimal,quinolinate synthase NadA [Corynebacterium striatum],R_QULNS,transfer of a chemical group
lcl_CP069514_1_prot_QRP17919_1_1570,1.6924781938582557e-15,optimal,bifunctional riboflavin kinase/FAD synthetase [Corynebacterium striatum],R_FMNAT,transfer of a chemical group
lcl_CP069514_1_prot_QRP17919_1_1570,1.6924781938582557e-15,optimal,bifunctional riboflavin kinase/FAD synthetase [Corynebacterium striatum],R_RBFK,phosphorylation
lcl_CP069514_1_prot_QRP19031_1_156,-2.114576310920696e-09,optimal,"1,4-dihydroxy-2-naphthoate polyprenyltransferase [Corynebacterium striatum]",R_DHNAOT,decarboxylation
lcl_CP069514_1_prot_QRP19962_1_1232,7.213619288316345e-11,optimal,nicotinate-nucleotide adenylyltransferase [Corynebacterium striatum],R_NMNAT,biochemical reaction
lcl_CP069514_1_prot_QRP19962_1_1232,7.213619288316345e-11,optimal,nicotinate-nucleotide adenylyltransferase [Corynebacterium striatum],R_NNATr,biochemical reaction
lcl_CP069514_1_prot_QRP18224_1_1923,2.5670285543304385e-16,optimal,riboflavin synthase [Corynebacterium striatum],R_RBFSb,transfer of a chemical group
lcl_CP069514_1_prot_QRP17887_1_1535,-5.817408449018735e-14,optimal,UMP kinase [Corynebacterium striatum],, 
lcl_CP069514_1_prot_QRP18517_1_2257,5.703558248554559e-12,optimal,ribose-phosphate diphosphokinase [Corynebacterium striatum],R_PRPPS,transfer of a chemical group
