ids,growth,status,name,reaction
lcl_CP068157_1_prot_QQU79677_1_219,7.278481634029797e-15,optimal,(d)CMP kinase [Corynebacterium striatum],R_CYTK1
lcl_CP068157_1_prot_QQU79677_1_219,7.278481634029797e-15,optimal,(d)CMP kinase [Corynebacterium striatum],R_CYTK2
lcl_CP068157_1_prot_QQU79012_1_1873,0.0,optimal,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Corynebacterium striatum]",R_MECDPS
lcl_CP068157_1_prot_QQU79357_1_2261,3.7262792563962566e-15,optimal,UDP-N-acetylmuramate--L-alanine ligase [Corynebacterium striatum],R_UAMAS
lcl_CP068157_1_prot_QQU79011_1_1872,1.2798864244287642e-12,optimal,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Corynebacterium striatum],R_MEPCT
lcl_CP068157_1_prot_QQU79695_1_240,4.06329249226096e-15,optimal,magnesium/cobalt transporter CorA [Corynebacterium striatum],R_COBALTt5
lcl_CP068157_1_prot_QQU79695_1_240,4.06329249226096e-15,optimal,magnesium/cobalt transporter CorA [Corynebacterium striatum],R_MGt5
lcl_CP068157_1_prot_QQU79352_1_2256,0.0,optimal,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [Corynebacterium striatum],R_UGMDDS
lcl_CP068157_1_prot_QQU79491_1_2,-2.9720475603459544e-15,optimal,4-hydroxy-tetrahydrodipicolinate synthase [Corynebacterium striatum],R_DHDPS
lcl_CP068157_1_prot_QQU80219_1_819,1.1803488644663614e-15,optimal,dTMP kinase [Corynebacterium striatum],R_DTMPK
lcl_CP068157_1_prot_QQU78992_1_1850,2.1833124999468606e-13,optimal,dihydroneopterin aldolase [Corynebacterium striatum],R_DHNPA2r
lcl_CP068157_1_prot_QQU78992_1_1850,2.1833124999468606e-13,optimal,dihydroneopterin aldolase [Corynebacterium striatum],R_DHNPA_1
lcl_CP068157_1_prot_QQU80022_1_600,3.5274686536485183e-15,optimal,type I pantothenate kinase [Corynebacterium striatum],R_PNCDC
lcl_CP068157_1_prot_QQU80022_1_600,3.5274686536485183e-15,optimal,type I pantothenate kinase [Corynebacterium striatum],R_PNTK
lcl_CP068157_1_prot_QQU80022_1_600,3.5274686536485183e-15,optimal,type I pantothenate kinase [Corynebacterium striatum],R_APCPT
lcl_CP068157_1_prot_QQU80022_1_600,3.5274686536485183e-15,optimal,type I pantothenate kinase [Corynebacterium striatum],R_APNPT
lcl_CP068157_1_prot_QQU79031_1_1896,-2.392644474635878e-10,optimal,adenylosuccinate lyase [Corynebacterium striatum],R_ADSL1r
lcl_CP068157_1_prot_QQU79031_1_1896,-2.392644474635878e-10,optimal,adenylosuccinate lyase [Corynebacterium striatum],R_ADSL2r
lcl_CP068157_1_prot_QQU78503_1_1308,2.114974015142289e-13,optimal,aspartate kinase [Corynebacterium striatum],R_ASPK
lcl_CP068157_1_prot_QQU79642_1_178,-1.0623485693850126e-13,optimal,dephospho-CoA kinase [Corynebacterium striatum],R_DPCOAK
lcl_CP068157_1_prot_QQU79354_1_2258,9.199862217031369e-14,optimal,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase [Corynebacterium striatum],R_UAMAGS
lcl_CP068157_1_prot_QQU79457_1_2373,-3.3039532000337993e-16,optimal,1-deoxy-D-xylulose-5-phosphate reductoisomerase [Corynebacterium striatum],R_DXPRIi
lcl_CP068157_1_prot_QQU79783_1_339,1.331951328517377e-10,optimal,methionine adenosyltransferase [Corynebacterium striatum],R_METAT
lcl_CP068157_1_prot_QQU79582_1_108,0.0,optimal,1-deoxy-D-xylulose-5-phosphate synthase [Corynebacterium striatum],R_DXPS
lcl_CP068157_1_prot_QQU80024_1_602,-9.199171199198263e-14,optimal,isoprenyl transferase [Corynebacterium striatum],R_GRTT
lcl_CP068157_1_prot_QQU78429_1_1228,2.3499982120404706e-09,optimal,S-ribosylhomocysteine lyase [Corynebacterium striatum],R_RHCCE
lcl_CP068157_1_prot_QQU79774_1_330,-1.113748447286041e-14,optimal,"6,7-dimethyl-8-ribityllumazine synthase [Corynebacterium striatum]",R_RBFSa
lcl_CP068157_1_prot_QQU79669_1_209,1.0233320556338091e-10,optimal,NAD kinase [Corynebacterium striatum],R_NADK
lcl_CP068157_1_prot_QQU79946_1_511,3.424345560503384e-14,optimal,FAD-binding oxidoreductase [Corynebacterium striatum],R_GLYCTO1
lcl_CP068157_1_prot_QQU79946_1_511,3.424345560503384e-14,optimal,FAD-binding oxidoreductase [Corynebacterium striatum],R_GLYCTO3
lcl_CP068157_1_prot_QQU79946_1_511,3.424345560503384e-14,optimal,FAD-binding oxidoreductase [Corynebacterium striatum],R_LDH_D2
lcl_CP068157_1_prot_QQU79946_1_511,3.424345560503384e-14,optimal,FAD-binding oxidoreductase [Corynebacterium striatum],R_UAPGR
lcl_CP068157_1_prot_QQU80010_1_587,-1.8266753130519228e-11,optimal,class II fumarate hydratase [Corynebacterium striatum],R_FUM
lcl_CP068157_1_prot_QQU79630_1_163,4.1070232476703916e-14,optimal,chorismate synthase [Corynebacterium striatum],R_CHORS
lcl_CP068157_1_prot_QQU79776_1_332,2.895209266999141e-14,optimal,riboflavin synthase [Corynebacterium striatum],R_RBFSb
lcl_CP068157_1_prot_QQU78993_1_1851,1.4655187333813065e-13,optimal,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [Corynebacterium striatum],R_HPPK
lcl_CP068157_1_prot_QQU78993_1_1851,1.4655187333813065e-13,optimal,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [Corynebacterium striatum],R_HPPK2
lcl_CP068157_1_prot_QQU80744_1_2070,0.0,optimal,bifunctional folylpolyglutamate synthase/dihydrofolate synthase [Corynebacterium striatum],R_DHFS
lcl_CP068157_1_prot_QQU80448_1_1078,2.904905653970807e-12,optimal,adenylate kinase [Corynebacterium striatum],R_ADK1
lcl_CP068157_1_prot_QQU80448_1_1078,2.904905653970807e-12,optimal,adenylate kinase [Corynebacterium striatum],R_ADK2
lcl_CP068157_1_prot_QQU80521_1_1157,6.872450294828565e-15,optimal,o-succinylbenzoate synthase [Corynebacterium striatum],
lcl_CP068157_1_prot_QQU78502_1_1307,0.0,optimal,aspartate-semialdehyde dehydrogenase [Corynebacterium striatum],R_ASAD
lcl_CP068157_1_prot_QQU79775_1_331,-2.8935074367278887e-12,optimal,"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II [Corynebacterium striatum]",R_GTPCII
lcl_CP068157_1_prot_QQU79775_1_331,-2.8935074367278887e-12,optimal,"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II [Corynebacterium striatum]",R_GTPCII2
lcl_CP068157_1_prot_QQU79631_1_164,1.760152820430168e-14,optimal,shikimate kinase [Corynebacterium striatum],R_SHKK
lcl_CP068157_1_prot_QQU79351_1_2255,-3.26177048707107e-17,optimal,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [Corynebacterium striatum]",R_UAAGDS
lcl_CP068157_1_prot_QQU80623_1_340,-1.6525191577895702e-15,optimal,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC [Corynebacterium striatum],R_PPCDC
lcl_CP068157_1_prot_QQU80623_1_340,-1.6525191577895702e-15,optimal,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC [Corynebacterium striatum],R_PPNCL3
lcl_CP068157_1_prot_QQU80048_1_631,2.354753414619004e-12,optimal,ribose-phosphate diphosphokinase [Corynebacterium striatum],R_PRPPS
lcl_CP068157_1_prot_QQU79064_1_1930,-5.647376291433438e-14,optimal,UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Corynebacterium striatum],R_UAGCVT
lcl_CP068157_1_prot_QQU78914_1_1767,0.0,optimal,nucleosidase [Corynebacterium striatum],R_AHCYSNS
lcl_CP068157_1_prot_QQU78944_1_1798,1.2192082252987705e-12,optimal,adenylosuccinate synthase [Corynebacterium striatum],R_ADSS
lcl_CP068157_1_prot_QQU79489_1_2410,-7.831361567402227e-15,optimal,4-hydroxy-tetrahydrodipicolinate reductase [Corynebacterium striatum],R_DHDPRy
lcl_CP068157_1_prot_QQU79353_1_2257,2.4365019505573487e-14,optimal,phospho-N-acetylmuramoyl-pentapeptide-transferase [Corynebacterium striatum],R_PAPPT3
lcl_CP068157_1_prot_QQU79188_1_2076,2.1026611664075644e-13,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK1
lcl_CP068157_1_prot_QQU79188_1_2076,2.1026611664075644e-13,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK2
