ids,growth,status,name,reaction,class
lcl_CP066290_1_prot_QQE54086_1_1140,-1.6554891809094755e-13,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK1,phosphorylation
lcl_CP066290_1_prot_QQE54086_1_1140,-1.6554891809094755e-13,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK2,phosphorylation
lcl_CP066290_1_prot_QQE54086_1_1140,-1.6554891809094755e-13,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK3,phosphorylation
lcl_CP066290_1_prot_QQE54086_1_1140,-1.6554891809094755e-13,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK4,phosphorylation
lcl_CP066290_1_prot_QQE54086_1_1140,-1.6554891809094755e-13,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK5,phosphorylation
lcl_CP066290_1_prot_QQE54086_1_1140,-1.6554891809094755e-13,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK6,phosphorylation
lcl_CP066290_1_prot_QQE54086_1_1140,-1.6554891809094755e-13,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK7,phosphorylation
lcl_CP066290_1_prot_QQE54086_1_1140,-1.6554891809094755e-13,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK8,phosphorylation
lcl_CP066290_1_prot_QQE53442_1_400,-1.4038114914285091e-15,optimal,pantetheine-phosphate adenylyltransferase [Corynebacterium striatum],R_PTPATi,transfer of a chemical group
lcl_CP066290_1_prot_QQE53417_1_372,-4.335721540538915e-09,optimal,isochorismate synthase [Corynebacterium striatum],R_ICHORS,isomerisation
lcl_CP066290_1_prot_QQE53455_1_416,-5.816934254959016e-11,optimal,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC [Corynebacterium striatum],R_PPCDC,decarboxylation
lcl_CP066290_1_prot_QQE53455_1_416,-5.816934254959016e-11,optimal,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC [Corynebacterium striatum],R_PPNCL3,biochemical reaction
lcl_CP066290_1_prot_QQE53057_1_2641,-6.436452397844755e-11,optimal,carboxylating nicotinate-nucleotide diphosphorylase [Corynebacterium striatum],R_NNDPR,glycosylation
lcl_CP066290_1_prot_QQE53660_1_651,-2.4330048893877884e-14,optimal,1-deoxy-D-xylulose-5-phosphate synthase [Corynebacterium striatum],R_DXPS,transfer of a chemical group
lcl_CP066290_1_prot_QQE51906_1_1337,-1.0990404530738341e-10,optimal,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Corynebacterium striatum]",R_MECDPS,cleavage
lcl_CP066290_1_prot_QQE52639_1_2168,3.5641895389358945e-09,optimal,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase [Corynebacterium striatum],R_OXGDC,decarboxylation
lcl_CP066290_1_prot_QQE52639_1_2168,3.5641895389358945e-09,optimal,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase [Corynebacterium striatum],R_SEPHCHCS,transfer of a chemical group
lcl_CP066290_1_prot_QQE52639_1_2168,3.5641895389358945e-09,optimal,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase [Corynebacterium striatum],R_SHCHCS3,cleavage
lcl_CP066290_1_prot_QQE54200_1_1269,-1.2335927099200725e-12,optimal,UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Corynebacterium striatum],R_UAGCVT,transfer of a chemical group
lcl_CP066290_1_prot_QQE53612_1_593,-2.114600430018492e-09,optimal,chorismate synthase [Corynebacterium striatum],R_CHORS,cleavage
lcl_CP066290_1_prot_624,-4.8991873574636e-09,optimal,adenine phosphoribosyltransferase,R_ADPT,glycosylation
lcl_CP066290_1_prot_QQE53889_1_915,2.0895789210543883e-12,optimal,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase [Corynebacterium striatum],R_UAGPT2,glycosylation
lcl_CP066290_1_prot_QQE53889_1_915,2.0895789210543883e-12,optimal,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase [Corynebacterium striatum],R_UAGPT3,glycosylation
lcl_CP066290_1_prot_QQE52963_1_2536,-2.8511385188390413e-13,optimal,dTMP kinase [Corynebacterium striatum],R_DTMPK,biochemical reaction
lcl_CP066290_1_prot_QQE52746_1_2285,-1.050730369738095e-13,optimal,phosphoglucosamine mutase [Corynebacterium striatum],R_ACGAMPM,isomerisation
lcl_CP066290_1_prot_QQE52746_1_2285,-1.050730369738095e-13,optimal,phosphoglucosamine mutase [Corynebacterium striatum],R_PGAMT,isomerisation
lcl_CP066290_1_prot_QQE52169_1_1629,-1.0663396176287032e-12,optimal,cadmium-translocating P-type ATPase [Corynebacterium striatum],R_Cuabc,active transport
lcl_CP066290_1_prot_QQE52169_1_1629,-1.0663396176287032e-12,optimal,cadmium-translocating P-type ATPase [Corynebacterium striatum],R_Cut1,active transport
lcl_CP066290_1_prot_QQE54346_1_928,-2.133187765592427e-09,optimal,polyprenyl synthetase family protein [Corynebacterium striatum],R_DMATT,transfer of a chemical group
lcl_CP066290_1_prot_QQE54346_1_928,-2.133187765592427e-09,optimal,polyprenyl synthetase family protein [Corynebacterium striatum],R_FRTT,transfer of a chemical group
lcl_CP066290_1_prot_QQE53893_1_919,3.035201437745497e-13,optimal,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [Corynebacterium striatum],R_UGMDDS,biochemical reaction
lcl_CP066290_1_prot_QQE53263_1_198,-8.349772947126006e-16,optimal,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [Corynebacterium striatum]",R_THDPS,transfer of a chemical group
lcl_CP066290_1_prot_QQE53888_1_914,1.0579287872330927e-14,optimal,UDP-N-acetylmuramate--L-alanine ligase [Corynebacterium striatum],R_UAMAS,biochemical reaction
lcl_CP066290_1_prot_QQE53758_1_770,-4.130173394379361e-15,optimal,4-hydroxy-tetrahydrodipicolinate reductase [Corynebacterium striatum],R_DHDPRy,redox reaction
lcl_CP066290_1_prot_QQE53600_1_578,-2.4794711377452984e-14,optimal,dephospho-CoA kinase [Corynebacterium striatum],R_DPCOAK,phosphorylation
lcl_CP066290_1_prot_QQE53756_1_768,-4.7726318645953444e-15,optimal,4-hydroxy-tetrahydrodipicolinate synthase [Corynebacterium striatum],R_DHDPS,biochemical reaction
lcl_CP066290_1_prot_QQE53793_1_810,-2.4672917998537164e-15,optimal,UMP kinase [Corynebacterium striatum],, 
lcl_CP066290_1_prot_QQE53056_1_2640,4.0965202674393294e-11,optimal,FAD-binding protein [Corynebacterium striatum],R_ASPO5,biochemical reaction
lcl_CP066290_1_prot_QQE53056_1_2640,4.0965202674393294e-11,optimal,FAD-binding protein [Corynebacterium striatum],R_ASPO6,redox reaction
lcl_CP066290_1_prot_QQE52630_1_2156,-1.4358647409638905e-09,optimal,o-succinylbenzoate--CoA ligase [Corynebacterium striatum],, 
lcl_CP066290_1_prot_QQE53055_1_2639,-9.193278513940152e-12,optimal,quinolinate synthase NadA [Corynebacterium striatum],R_QULNS,transfer of a chemical group
lcl_CP066290_1_prot_QQE54067_1_1117,-3.8359826181607755e-13,optimal,nicotinate-nucleotide adenylyltransferase [Corynebacterium striatum],R_NMNAT,biochemical reaction
lcl_CP066290_1_prot_QQE54067_1_1117,-3.8359826181607755e-13,optimal,nicotinate-nucleotide adenylyltransferase [Corynebacterium striatum],R_NNATr,biochemical reaction
lcl_CP066290_1_prot_QQE51907_1_1338,-2.1114951237604724e-09,optimal,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Corynebacterium striatum],R_MEPCT,transfer of a chemical group
lcl_CP066290_1_prot_QQE53787_1_804,0.0,optimal,1-deoxy-D-xylulose-5-phosphate reductoisomerase [Corynebacterium striatum],R_DXPRIi,redox reaction
lcl_CP066290_1_prot_QQE53453_1_414,3.200022579020162e-15,optimal,guanylate kinase [Corynebacterium striatum],R_DGK1,biochemical reaction
lcl_CP066290_1_prot_QQE53453_1_414,3.200022579020162e-15,optimal,guanylate kinase [Corynebacterium striatum],R_GK1,phosphorylation
lcl_CP066290_1_prot_QQE53456_1_417,-1.1021193017615836e-09,optimal,methionine adenosyltransferase [Corynebacterium striatum],R_METAT,transfer of a chemical group
lcl_CP066290_1_prot_QQE53181_1_96,-2.3803445065187942e-15,optimal,ribose-phosphate diphosphokinase [Corynebacterium striatum],R_PRPPS,transfer of a chemical group
lcl_CP066290_1_prot_QQE52478_1_1977,1.4463581636847572e-13,optimal,aspartate-semialdehyde dehydrogenase [Corynebacterium striatum],R_ASAD,redox reaction
lcl_CP066290_1_prot_QQE53206_1_129,-1.4452408294471948e-09,optimal,isoprenyl transferase [Corynebacterium striatum],R_GRTT,transfer of a chemical group
lcl_CP066290_1_prot_QQE53182_1_97,4.3429303050158525e-14,optimal,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU [Corynebacterium striatum],R_UAGDP,transfer of a chemical group
lcl_CP066290_1_prot_QQE53141_1_47,1.4700446232594086e-13,optimal,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Corynebacterium striatum],R_CDPMEK,phosphorylation
lcl_CP066290_1_prot_QQE52477_1_1976,3.9590101027647216e-13,optimal,aspartate kinase [Corynebacterium striatum],R_ASPK,phosphorylation
lcl_CP066290_1_prot_QQE53892_1_918,2.0702132903365556e-14,optimal,phospho-N-acetylmuramoyl-pentapeptide-transferase [Corynebacterium striatum],R_PAPPT3,transfer of a chemical group
lcl_CP066290_1_prot_QQE53891_1_917,-1.9496028182806086e-13,optimal,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase [Corynebacterium striatum],R_UAMAGS,biochemical reaction
lcl_CP066290_1_prot_QQE53208_1_131,9.265202898010695e-15,optimal,type I pantothenate kinase [Corynebacterium striatum],R_PNCDC,decarboxylation
lcl_CP066290_1_prot_QQE53208_1_131,9.265202898010695e-15,optimal,type I pantothenate kinase [Corynebacterium striatum],R_PNTK,phosphorylation
lcl_CP066290_1_prot_QQE53208_1_131,9.265202898010695e-15,optimal,type I pantothenate kinase [Corynebacterium striatum],R_APCPT,biochemical or transport reaction
lcl_CP066290_1_prot_QQE53208_1_131,9.265202898010695e-15,optimal,type I pantothenate kinase [Corynebacterium striatum],R_APNPT,biochemical or transport reaction
lcl_CP066290_1_prot_QQE52629_1_2154,-2.8972249982345473e-13,optimal,"1,4-dihydroxy-2-naphthoate polyprenyltransferase [Corynebacterium striatum]",R_DHNAOT,decarboxylation
lcl_CP066290_1_prot_QQE53571_1_546,-5.033121292008463e-10,optimal,NAD kinase [Corynebacterium striatum],R_NADK,phosphorylation
lcl_CP066290_1_prot_QQE52808_1_2357,4.179970661284864e-13,optimal,pyridoxal 5'-phosphate synthase glutaminase subunit PdxT [Corynebacterium striatum],R_PLPS,biochemical reaction
lcl_CP066290_1_prot_QQE53611_1_592,1.0377283698729619e-09,optimal,shikimate kinase [Corynebacterium striatum],R_SHKK,phosphorylation
lcl_CP066290_1_prot_QQE53563_1_536,-3.5845229674722837e-14,optimal,(d)CMP kinase [Corynebacterium striatum],R_CYTK1,biochemical reaction
lcl_CP066290_1_prot_QQE53563_1_536,-3.5845229674722837e-14,optimal,(d)CMP kinase [Corynebacterium striatum],R_CYTK2,biochemical reaction
lcl_CP066290_1_prot_QQE53942_1_977,-1.2117040694244059e-15,optimal,CTP synthase [Corynebacterium striatum],R_CTPS1,biochemical reaction
lcl_CP066290_1_prot_QQE53942_1_977,-1.2117040694244059e-15,optimal,CTP synthase [Corynebacterium striatum],R_CTPS2,biochemical reaction
lcl_CP066290_1_prot_QQE53894_1_920,0.0,optimal,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [Corynebacterium striatum]",R_UAAGDS,biochemical reaction
lcl_CP066290_1_prot_QQE52727_1_2264,-1.6529807584968656e-13,optimal,adenylate kinase [Corynebacterium striatum],R_ADK1,phosphorylation
