Reactions of gene	Accession-2
3.1.11.2-RXN	CBE89_10945
	CBE89_10755
	CBE89_00065
NICONUCADENYLYLTRAN-RXN	CBE89_04085
TRANS-RXN27OU-6	CBE89_06985
DIHYDROXYMETVALDEHYDRAT-RXN // DIHYDROXYISOVALDEHYDRAT-RXN	CBE89_07890
	CBE89_04810
	CBE89_03390
	CBE89_09210
SULFATE-ADENYLYLTRANS-RXN	CBE89_02315
3.4.21.89-RXN	CBE89_05580
	CBE89_00740
	CBE89_02505
	CBE89_12505
	CBE89_06800
	CBE89_12420
	CBE89_07320
	CBE89_07030
	CBE89_01915
	CBE89_12085
	CBE89_03265
	CBE89_02280
	CBE89_03880
	CBE89_06500
	CBE89_00190
	CBE89_10925
	CBE89_05140
	CBE89_09970
	CBE89_11265
	CBE89_02105
PEPTIDYLPROLYL-ISOMERASE-RXN	CBE89_00980
	CBE89_01340
	CBE89_01380
	CBE89_07755
RIBOFLAVIN-SYN-RXN	CBE89_07550
TRANS-RXN27OU-5	CBE89_06110
2.9.1.1-RXN	CBE89_08740
MANNPISOM-RXN	CBE89_10195
	CBE89_09635
	CBE89_09920
	CBE89_02580
	CBE89_12985
MALATE-DEHYDROGENASE-ACCEPTOR-RXN // RXN-21557 // RXNI-3	CBE89_05705
	CBE89_11495
	CBE89_06755
ISPH2-RXN // RXN0-884	CBE89_08870
	CBE89_02375
	CBE89_01805
	CBE89_01735
	CBE89_10900
	CBE89_12935
RXN-14570	CBE89_11365
RNTRACTIV-RXN	CBE89_11745
	CBE89_02900
	CBE89_11205
RXN27OU-3	CBE89_03500
RXN-11322 // GLUTAMIN-RXN // RXN-12590	CBE89_11045
	CBE89_10475
	CBE89_00650
RXN0-5131 // RXN0-5100	CBE89_12170
	CBE89_02775
	CBE89_03905
RXN-8999	CBE89_08970
	CBE89_06435
	CBE89_08035
	CBE89_05435
GLUTAMIN-RXN	CBE89_03530
	CBE89_05480
	CBE89_00270
	CBE89_02630
	CBE89_05250
	CBE89_09860
	CBE89_01445
DIAMINOPIMEPIM-RXN	CBE89_05970
TRYPSYN-RXN // RXN0-2381 // RXN0-2382	CBE89_01260
	CBE89_06460
DNA-DIRECTED-RNA-POLYMERASE-RXN	CBE89_11770
	CBE89_12650
	CBE89_06690
	CBE89_13205
	CBE89_11105
	CBE89_00070
	CBE89_12855
	CBE89_08575
	CBE89_07105
ALARACECAT-RXN	CBE89_08830
	CBE89_03685
	CBE89_10825
	CBE89_12720
	CBE89_04655
	CBE89_03460
	CBE89_03130
	CBE89_08775
	CBE89_07965
	CBE89_05370
	CBE89_09760
	CBE89_04780
RXN-22 // ARGSUCCINLYA-RXN	CBE89_06865
	CBE89_01490
	CBE89_10295
RIBONUCLEOSIDE-DIP-REDUCTI-RXN // GDPREDUCT-RXN // RXN0-722 // UDPREDUCT-RXN // ADPREDUCT-RXN // RXN0-747 // RIBONUCLEOSIDE-DIP-REDUCTII-RXN // RXN0-748 // CDPREDUCT-RXN	CBE89_03350
	CBE89_09575
	CBE89_02085
	CBE89_01600
RXN-20927 // DNA-DIRECTED-DNA-POLYMERASE-RXN	CBE89_04115
	CBE89_00540
	CBE89_08810
RXN-17775 // RXN-13615 // RXN-14278 // RXN-14229 // BUTYRYL-COA-DEHYDROGENASE-RXN // ACYLCOADEHYDROG-RXN // RXN-17783 // RXN-17779	CBE89_10610
	CBE89_09685
	CBE89_10040
	CBE89_00335
	CBE89_11440
	CBE89_12545
CITSYN-RXN // RXN-21228 // 2-METHYLCITRATE-SYNTHASE-RXN	CBE89_10850
METHYLCROTONYL-COA-CARBOXYLASE-RXN	CBE89_10805
2.7.7.8-RXN	CBE89_05820
RXN-19728 // RXN-19727 // RXN-15041 // RXN-19726 // RXN-19729	CBE89_06115
VALINE--TRNA-LIGASE-RXN	CBE89_03960
	CBE89_01880
	CBE89_08075
	CBE89_12205
EXOPOLYPHOSPHATASE-RXN	CBE89_10200
	CBE89_11975
ASPARAGHYD-RXN	CBE89_05165
RXN0-12 // RXN0-14 // TRANS-RXN-141 // TRANS-RXN-141A // TRANS-RXN27OU-2	CBE89_07930
	CBE89_01300
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN // SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN // RXN-14963 // R601-RXN // RXN-21393 // RXN1YI0-14	CBE89_12445
	CBE89_06305
	CBE89_07990
	CBE89_00390
	CBE89_12585
	CBE89_09440
	CBE89_05710
	CBE89_01955
	CBE89_11125
RXN-13374	CBE89_08275
SERINE-O-ACETTRAN-RXN	CBE89_03225
	CBE89_06375
	CBE89_02145
	CBE89_10660
	CBE89_08710
TREHALOSE6PSYN-RXN // RXN-761	CBE89_02905
	CBE89_05105
PYRAMKIN-RXN // PNKIN-RXN // PYRIDOXKIN-RXN	CBE89_04360
HISTIDINE--TRNA-LIGASE-RXN	CBE89_06555
	CBE89_10480
	CBE89_00655
RXN0-3221	CBE89_06615
	CBE89_08455
3.4.11.2-RXN	CBE89_03835
	CBE89_12390
	CBE89_05215
	CBE89_07685
RXN-12610 // RXN-12611 // THI-P-SYN-RXN	CBE89_05555
	CBE89_05975
	CBE89_04515
GLYRIBONUCSYN-RXN	CBE89_03025
	CBE89_04030
	CBE89_08655
RXN-7719 // RXN0-1132 // RXN-7716 // 1.8.1.4-RXN // RXN-8629	CBE89_12460
	CBE89_12315
PROPIONYL-COA-CARBOXY-RXN // BIOTIN-CARBOXYL-RXN	CBE89_10760
	CBE89_06270
UDPNACETYLMURAMATEDEHYDROG-RXN	CBE89_12395
	CBE89_00075
	CBE89_02060
	CBE89_04775
ACYLCOASYN-RXN // RXN-9644 // RXN-16380 // RXN-7904	CBE89_12140
RXN-10642 // UROGENDECARBOX-RXN	CBE89_12045
	CBE89_02010
SUCCCOASYN-RXN	CBE89_01050
	CBE89_02190
TRANS-RXN27OU-1 // TRANS-RXN27OU-9	CBE89_09055
	CBE89_12920
RXN-15881 // RXN-12621 // RXN0-308 // RXN-21565 // RXN-21560 // RXN-14385	CBE89_07415
PHOSACETYLTRANS-RXN	CBE89_02510
	CBE89_12250
	CBE89_08995
	CBE89_11330
	CBE89_07070
GART-RXN	CBE89_09470
	CBE89_06245
	CBE89_06170
	CBE89_11710
ASPARTASE-RXN	CBE89_07235
	CBE89_11610
RXN0-5462	CBE89_04045
	CBE89_02285
	CBE89_08680
	CBE89_00195
CHORISMATEMUT-RXN	CBE89_09510
	CBE89_10615
TRNA-CYTIDYLYLTRANSFERASE-RXN	CBE89_01210
RXN-12357 // RXN-12356	CBE89_07440
HISTIDPHOS-RXN	CBE89_09795
RXN0-5131	CBE89_03770
	CBE89_11270
	CBE89_06330
	CBE89_01930
	CBE89_07760
ARGININE--TRNA-LIGASE-RXN	CBE89_08320
	CBE89_06120
	CBE89_13210
RXN-13403 // UROPORIIIMETHYLTRANSA-RXN // RXN-8675	CBE89_10205
	CBE89_12265
TRANS-RXN0-551	CBE89_03980
GAPOXNPHOSPHN-RXN	CBE89_07510
	CBE89_09925
	CBE89_11500
	CBE89_13260
	CBE89_02585
	CBE89_04960
	CBE89_11130
	CBE89_06760
RXN-15006 // N-ACETYLGLUTPREDUCT-RXN	CBE89_06830
	CBE89_01810
	CBE89_02380
RXN-1623	CBE89_04995
	CBE89_01740
	CBE89_12940
	CBE89_09195
	CBE89_02910
	CBE89_11210
	CBE89_11065
	CBE89_04480
GLUTAMINESYN-RXN	CBE89_04860
RXN-1623	CBE89_02035
	CBE89_10485
	CBE89_00660
	CBE89_01920
ASPARTATE--TRNA-LIGASE-RXN	CBE89_06620
